Date,Time,Millisecond,PT1[bar],PT2[Bar],PT3[bar],PT4[bar],TT1[°C],LT1[%],FIT1[m³/h],FIT2[m³/h],FIT3[m³/h],TMP[bar]
2024/07/11,11:08:45,640,0.248662,0.099465,0.029839,0.092231,27.04716,14.56494,-0.000651,-0.000289,-0.000362,0.066008
2024/07/11,11:09:45,650,0.249566,0.097656,0.032552,0.096752,26.95674,14.60277,-0.000868,-0.000289,-0.000579,0.064652
2024/07/11,11:10:45,600,0.245045,0.099465,0.028935,0.090422,27.03631,14.60277,-0.000651,-0.000434,-0.000217,0.066008
2024/07/11,11:11:45,660,0.248662,0.095848,0.029839,0.091327,26.96398,14.57755,-0.000651,-0.000579,-0.000072,0.063748
2024/07/11,11:12:45,620,0.248662,0.097656,0.031648,0.092231,27.05440,14.60277,-0.001085,-0.001013,-0.000072,0.063748
2024/07/11,11:13:45,620,0.246853,0.094944,0.031648,0.091327,27.02184,14.60277,-0.001519,-0.001013,-0.000506,0.061487
2024/07/11,11:14:45,620,0.248662,0.096752,0.027127,0.090422,27.00014,14.59016,-0.001085,-0.000723,-0.000362,0.066460
2024/07/11,11:15:45,630,0.249566,0.094944,0.028031,0.091327,27.09057,14.60277,-0.001519,-0.000723,-0.000796,0.065104
2024/07/11,11:16:45,610,0.248662,0.094944,0.028935,0.091327,27.13397,14.60277,-0.001519,-0.001157,-0.000362,0.064200
2024/07/11,11:17:45,630,0.246853,0.097656,0.028935,0.092231,27.13759,14.62799,-0.000868,-0.001013,0.000145,0.066008
2024/07/11,11:18:45,640,0.246853,0.096752,0.027127,0.092231,27.13397,14.64060,-0.001085,-0.001013,-0.000072,0.067365
2024/07/11,11:19:45,600,0.249566,0.096752,0.027127,0.090422,27.15205,14.62799,-0.001736,-0.000723,-0.001013,0.066460
2024/07/11,11:20:45,640,0.249566,0.092231,0.029839,0.090422,27.17014,14.65322,-0.001519,-0.001013,-0.000506,0.062391
2024/07/11,11:21:45,650,0.246853,0.096752,0.028031,0.087710,27.22801,14.65322,-0.001953,-0.001157,-0.000796,0.064200
2024/07/11,11:22:45,630,0.245949,0.096752,0.028031,0.090422,27.25694,14.65322,-0.001736,-0.001157,-0.000579,0.065556
2024/07/11,11:23:45,590,0.246853,0.095848,0.027127,0.091327,27.28950,14.65322,-0.002170,-0.000723,-0.001447,0.066460
2024/07/11,11:24:45,610,0.245045,0.093135,0.029839,0.090422,27.31843,14.62799,-0.001519,-0.001447,-0.000072,0.061939
2024/07/11,11:25:45,610,0.246853,0.094944,0.028031,0.086806,27.33652,14.66583,-0.001519,-0.001736,0.000217,0.062844
2024/07/11,11:26:45,630,0.248662,0.093135,0.028031,0.091327,27.36907,14.64060,-0.001519,-0.002025,0.000506,0.064200
2024/07/11,11:27:45,660,0.250470,0.097656,0.023510,0.087710,27.39800,14.64060,-0.001736,-0.001736,0.000000,0.069173
2024/07/11,11:28:45,600,0.248662,0.094944,0.028031,0.090422,27.43779,14.70366,-0.001085,-0.001736,0.000651,0.064652
2024/07/11,11:29:45,620,0.248662,0.094944,0.028031,0.091327,27.48843,14.69105,-0.001519,-0.001736,0.000217,0.065104
2024/07/11,11:30:45,620,0.249566,0.093135,0.028935,0.087710,27.52460,14.70366,-0.001736,-0.001447,-0.000289,0.061487
2024/07/11,11:31:45,610,0.249566,0.096752,0.029839,0.088614,27.56800,14.69105,-0.002170,-0.001736,-0.000434,0.062844
