Date,Time,Millisecond,PT1[bar],PT2[Bar],PT3[bar],PT4[bar],TT1[°C],LT1[%],FIT1[m³/h],FIT2[m³/h],FIT3[m³/h],TMP[bar]
2024/07/12,09:50:07,700,0.245949,0.103986,0.042499,0.041594,26.97483,14.52711,-0.001085,-0.000289,-0.000796,0.030292
2024/07/12,09:51:07,610,0.245045,1.501917,0.050637,0.368019,26.39251,14.51450,2.290582,-0.000289,2.290871,0.884332
2024/07/12,09:52:07,620,0.248662,2.624964,0.086806,0.439453,26.84462,14.53972,2.427734,-0.000289,2.428024,1.445403
2024/07/12,09:53:07,600,0.248662,3.047237,0.119358,0.405093,27.46311,14.51450,2.421224,-0.000289,2.421513,1.606807
2024/07/12,09:54:07,610,0.248662,2.968569,0.163665,0.358073,28.01649,14.57755,2.391493,-0.000434,2.391927,1.499656
2024/07/12,09:55:07,620,0.245045,2.980324,0.207972,0.349935,28.61328,14.52711,2.282118,-0.000579,2.282697,1.466652
2024/07/12,09:56:07,610,0.249566,2.931496,0.246853,0.312862,29.26071,14.59016,2.292101,-0.000434,2.292535,1.375325
2024/07/12,09:57:07,600,0.250470,2.999313,0.271267,0.398763,29.87919,14.59016,2.391493,0.097801,2.293692,1.427770
2024/07/12,09:58:07,600,0.251374,3.012876,0.273076,0.411422,30.45428,14.59016,2.424696,0.096209,2.328487,1.439073
2024/07/12,09:59:07,610,0.251374,3.018301,0.275788,0.381583,30.97150,14.59016,2.421007,0.095920,2.325087,1.424154
2024/07/12,10:00:07,630,0.254087,3.035482,0.273076,0.391529,31.49233,14.59016,2.420790,0.097367,2.323423,1.440430
2024/07/12,10:01:07,700,0.251374,2.976707,0.269459,0.403284,31.99146,14.59016,2.420356,0.097656,2.322700,1.419180
2024/07/12,10:02:07,630,0.253183,3.049949,0.273076,0.415943,32.37486,14.60277,2.412326,0.095920,2.316406,1.459871
2024/07/12,10:10:01,530,0.257704,1.691804,0.267650,0.417752,34.76201,14.62799,2.393663,0.063657,2.330006,0.787127
2024/07/12,10:11:01,540,0.255896,2.822989,0.273980,0.384295,35.21412,14.62799,2.359158,0.097222,2.261936,1.329662
2024/07/12,10:12:01,490,0.254991,2.927879,0.275788,0.380679,35.59751,14.62799,2.377387,0.101562,2.275825,1.378490
2024/07/12,10:13:01,520,0.257704,2.926070,0.275788,0.359881,35.97728,14.62799,2.349609,0.101562,2.248047,1.367188
2024/07/12,10:14:01,540,0.260417,2.974899,0.272172,0.377062,36.41493,14.65322,2.394748,0.103009,2.291739,1.403808
2024/07/12,10:15:01,550,0.259512,2.939634,0.278501,0.349031,36.83087,14.65322,2.374349,0.102431,2.271918,1.365831
2024/07/12,10:16:01,530,0.258608,2.966761,0.276693,0.400571,37.22150,14.69105,2.397135,0.105758,2.291377,1.406973
2024/07/12,10:17:01,510,0.259512,2.917028,0.273076,0.363498,37.52893,14.71627,2.352431,0.104311,2.248119,1.367187
2024/07/12,10:18:01,520,0.260417,2.977611,0.278501,0.395146,37.86892,14.70366,2.370009,0.104311,2.265697,1.407878
2024/07/12,10:19:01,540,0.260417,2.963144,0.275788,0.393338,38.29210,14.72888,2.383029,0.106771,2.276259,1.402452
2024/07/12,10:20:01,500,0.260417,2.959527,0.276693,0.354456,38.70804,14.70366,2.331380,0.104456,2.226924,1.380299
2024/07/12,10:21:01,540,0.260417,2.920645,0.277597,0.373445,39.03357,14.70366,2.366971,0.107350,2.259621,1.369448
2024/07/12,10:22:01,530,0.262225,2.965856,0.277597,0.355360,39.32653,14.71627,2.365017,0.106337,2.258681,1.383011
2024/07/12,10:23:01,530,0.263129,2.938730,0.276693,0.413231,39.73524,14.75410,2.378689,0.106771,2.271919,1.399287
2024/07/12,10:24:01,540,0.259512,2.975803,0.276693,0.382487,39.95587,14.71627,2.376953,0.105758,2.271195,1.402452
2024/07/12,10:25:01,520,0.262225,2.898040,0.278501,0.370732,40.38628,14.75410,2.361111,0.105613,2.255498,1.355885
2024/07/12,10:26:01,570,0.263129,2.926975,0.276693,0.366211,40.59245,14.71627,2.361111,0.106771,2.254340,1.369900
2024/07/12,10:27:01,520,0.263129,2.967665,0.280310,0.414135,40.94329,14.71627,2.379557,0.109954,2.269604,1.410590
2024/07/12,10:28:01,550,0.262225,2.967665,0.285735,0.376157,41.26157,14.72888,2.381294,0.108073,2.273221,1.386176
2024/07/12,10:29:01,560,0.263129,2.904369,0.281214,0.354456,41.47859,14.75410,2.335069,0.107060,2.228009,1.348199
2024/07/12,10:30:01,550,0.264034,2.940538,0.280310,0.379774,41.81858,14.75410,2.363498,0.108073,2.255425,1.379847
2024/07/12,10:31:01,570,0.262225,2.907082,0.278501,0.359881,42.15495,14.72888,2.341580,0.107060,2.234520,1.354980
2024/07/12,10:32:01,520,0.263129,2.885381,0.278501,0.336372,42.40813,14.76671,2.335721,0.106771,2.228950,1.332375
2024/07/12,10:33:01,540,0.264938,2.938730,0.277597,0.370732,42.63238,14.76671,2.317708,0.107060,2.210648,1.377134
2024/07/12,10:34:01,520,0.264034,2.945059,0.280310,0.370732,42.86024,14.76671,2.342882,0.106771,2.236111,1.377586
2024/07/12,10:35:01,480,0.267650,2.941442,0.278501,0.386104,43.10619,14.79193,2.329861,0.106771,2.223090,1.385272
2024/07/12,10:36:01,500,0.264034,2.948676,0.282118,0.368924,43.36661,14.77932,2.330295,0.105324,2.224971,1.376682
2024/07/12,10:37:01,510,0.266746,2.918837,0.281214,0.350839,43.61256,14.76671,2.314887,0.106047,2.208840,1.353624
2024/07/12,10:38:01,550,0.263129,2.916124,0.280310,0.381583,43.85489,14.82976,2.342231,0.106771,2.235460,1.368544
2024/07/12,10:39:01,480,0.268555,2.902561,0.283022,0.407805,44.07552,14.81715,2.265191,0.109520,2.155671,1.373517
2024/07/12,10:40:00,740,0.267650,3.518338,0.273980,0.992839,44.39019,14.81715,0.733073,0.162760,0.570312,1.981608
2024/07/12,10:41:00,740,0.264938,3.565357,0.282118,1.021774,44.86039,14.81715,0.751302,0.167245,0.584057,2.011447
