Date,Time,Millisecond,PT1[bar],PT2[Bar],PT3[bar],PT4[bar],TT1[°C],LT1[%],FIT1[m³/h],FIT2[m³/h],FIT3[m³/h],TMP[bar]
2024/07/16,10:10:23,80,0.246853,3.773329,0.095848,2.524595,26.65654,14.32535,1.351128,-0.000289,1.351418,3.053114
2024/07/16,10:11:23,80,0.245949,4.598886,0.106698,1.960359,26.78313,14.31274,1.710286,-0.124421,1.834708,3.172924
2024/07/16,10:12:23,90,0.250470,4.030128,0.119358,1.381655,27.18822,14.35057,2.085721,-0.124855,2.210576,2.586534
2024/07/16,10:13:23,70,0.246853,3.070746,0.122975,0.420464,27.57885,14.35057,2.379774,-0.124711,2.504485,1.622631
2024/07/16,10:14:23,30,0.248662,3.024631,0.133825,0.384295,27.95862,14.37579,2.243273,-0.000434,2.243706,1.570638
2024/07/16,10:15:23,100,0.248662,2.991175,0.136538,0.370732,28.37818,14.31274,2.229167,-0.000434,2.229601,1.544415
2024/07/16,10:16:23,60,0.249566,2.982132,0.142867,0.361690,28.81583,14.35057,2.251085,-0.000434,2.251519,1.531304
2024/07/16,10:17:23,60,0.251374,3.524667,0.154622,0.806568,29.21369,14.35057,2.248481,-0.001157,2.249639,2.010995
2024/07/16,10:18:23,90,0.250470,3.398076,0.163665,0.764070,29.57899,14.38840,2.187066,-0.000579,2.187645,1.917408
2024/07/16,10:19:23,90,0.250470,3.405309,0.168186,0.825557,29.97323,14.37579,2.255208,-0.001302,2.256510,1.948152
2024/07/16,10:20:23,90,0.251374,4.766168,0.174515,2.140300,30.38194,14.38840,1.652778,-0.001157,1.653935,3.278718
2024/07/16,10:21:23,60,0.253183,5.113389,0.190791,2.495660,30.89916,14.38840,1.364149,-0.001302,1.365451,3.608308
2024/07/16,10:22:23,50,0.250470,5.106156,0.207972,2.461299,31.18851,14.35057,1.373698,-0.001736,1.375434,3.575756
2024/07/16,10:23:23,50,0.251374,5.088975,0.219727,2.484809,31.49595,14.40101,1.378038,-0.001302,1.379340,3.567166
2024/07/16,10:24:23,100,0.254087,5.079029,0.237811,2.478479,31.94083,14.38840,1.372179,-0.001447,1.373626,3.540943
2024/07/16,10:25:23,100,0.254087,5.126953,0.254991,2.504702,32.18316,14.38840,1.371962,-0.001157,1.373119,3.560836
2024/07/16,10:26:23,50,0.251374,5.090784,0.264034,2.506510,32.59187,14.43884,1.366753,-0.001013,1.367766,3.534614
2024/07/16,10:27:23,50,0.253183,5.123336,0.264034,2.510127,32.79441,14.41362,1.368490,0.036314,1.332176,3.544560
2024/07/16,10:28:23,60,0.257704,5.133283,0.269459,2.527308,33.20312,14.46406,1.368707,0.035590,1.333116,3.560836
2024/07/16,10:29:23,60,0.254087,5.092593,0.269459,2.471246,33.47439,14.46406,1.370660,0.037182,1.333478,3.512460
2024/07/16,10:30:23,90,0.255896,3.821253,0.267650,1.193576,33.65886,14.46406,2.030816,0.022569,2.008247,2.239764
2024/07/16,10:31:23,40,0.255896,3.797743,0.268555,1.151078,33.98799,14.46406,1.972656,0.021412,1.951244,2.205856
2024/07/16,10:32:23,100,0.255896,3.698278,0.269459,1.044379,34.31713,14.50189,1.917535,0.022569,1.894965,2.101870
2024/07/16,10:33:23,50,0.257704,3.716363,0.269459,1.146557,34.62095,14.46406,1.989583,0.022425,1.967159,2.162001
2024/07/16,10:34:23,60,0.259512,3.766999,0.273076,1.132993,34.93200,14.47667,1.970486,0.020978,1.949508,2.176920
2024/07/16,10:35:23,40,0.257704,3.758861,0.273076,1.117622,35.19242,14.47667,1.948785,0.022135,1.926649,2.165166
2024/07/16,10:36:23,50,0.257704,3.749819,0.273076,1.119430,35.45284,14.46406,1.979818,0.021267,1.958550,2.161549
2024/07/16,10:37:23,20,0.258608,3.713650,0.263129,1.046188,35.70240,14.46406,1.914714,0.020978,1.893736,2.116790
2024/07/16,10:38:23,80,0.258608,4.247143,0.269459,1.674624,35.94473,14.50189,1.837457,0.027199,1.810258,2.691424
2024/07/16,10:39:23,80,0.259512,4.613354,0.277597,2.009187,36.15813,14.47667,1.686415,0.032986,1.653429,3.033673
2024/07/16,10:40:22,170,0.259512,4.620587,0.272172,2.008283,36.43301,14.51450,1.692057,0.032986,1.659071,3.042264
2024/07/16,10:41:22,120,0.258608,4.662182,0.268555,2.037218,36.75130,14.47667,1.687934,0.031973,1.655961,3.081145
2024/07/16,10:42:22,130,0.260417,4.638672,0.272172,2.066153,36.92853,14.50189,1.684245,0.034288,1.649957,3.080241
2024/07/16,10:43:22,180,0.258608,4.596173,0.271267,2.027271,37.15639,14.53972,1.688368,0.034433,1.653935,3.040455
2024/07/16,10:44:22,130,0.258608,4.604311,0.272172,2.062536,37.47468,14.51450,1.686849,0.040220,1.646629,3.061252
2024/07/16,10:45:22,150,0.262225,4.607024,0.280310,2.029984,37.60127,14.56494,1.686632,0.036314,1.650318,3.038194
2024/07/16,10:46:22,140,0.259512,4.625108,0.275788,2.012804,37.90509,14.52711,1.691189,0.035735,1.655454,3.043167
2024/07/16,10:47:22,150,0.262225,4.560004,0.273076,2.007378,38.04977,14.53972,1.691189,0.037326,1.653863,3.010616
2024/07/16,10:48:22,130,0.263129,4.572663,0.273980,1.986581,38.36444,14.57755,1.687717,0.041667,1.646050,3.005642
2024/07/16,10:49:22,100,0.262225,4.634151,0.273980,2.025463,38.48380,14.53972,1.685764,0.036603,1.649161,3.055827
2024/07/16,10:50:22,130,0.258608,4.603407,0.277597,2.019133,38.74783,14.56494,1.699436,0.035735,1.663701,3.033673
2024/07/16,10:51:22,160,0.263129,4.564526,0.275788,2.009187,38.93591,14.57755,1.687717,0.036314,1.651403,3.011068
2024/07/16,10:52:22,140,0.260417,4.623300,0.273980,2.031792,39.10590,14.53972,1.697700,0.039062,1.658637,3.053566
2024/07/16,10:53:22,120,0.263129,4.617875,0.268555,2.032697,39.37355,14.56494,1.693142,0.038484,1.654659,3.056731
2024/07/16,10:54:22,140,0.262225,4.579897,0.276693,2.017325,39.55440,14.59016,1.687500,0.037326,1.650174,3.021919
2024/07/16,10:55:22,180,0.262225,4.612449,0.273980,2.016421,39.65929,14.59016,1.701389,0.038484,1.662905,3.040455
2024/07/16,10:56:22,130,0.260417,4.564526,0.272172,2.032697,39.87992,14.59016,1.687500,0.038484,1.649016,3.026440
2024/07/16,10:57:22,200,0.259512,4.622396,0.282118,2.012804,40.12949,14.56494,1.689887,0.035735,1.654152,3.035482
2024/07/16,10:58:22,180,0.263129,4.584418,0.281214,2.029984,40.31033,14.60277,1.685547,0.037760,1.647786,3.025987
2024/07/16,10:59:22,140,0.263129,4.552771,0.276693,2.023654,40.45862,14.59016,1.688368,0.038773,1.649595,3.011520
2024/07/16,11:00:22,120,0.263129,4.577185,0.280310,2.009187,40.60330,14.59016,1.690755,0.038628,1.652127,3.012876
2024/07/16,11:01:22,130,0.263129,4.553675,0.284831,2.017325,40.75521,14.59016,1.682943,0.039062,1.643880,3.000669
2024/07/16,11:02:22,200,0.260417,4.605216,0.277597,2.039026,40.95052,14.57755,1.693142,0.038484,1.654659,3.044524
2024/07/16,11:03:22,110,0.263129,4.622396,0.281214,2.021846,41.13498,14.60277,1.686198,0.043113,1.643084,3.040907
2024/07/16,11:04:22,110,0.264034,4.579897,0.272172,2.003762,41.29412,14.59016,1.681424,0.040509,1.640914,3.019658
2024/07/16,11:05:22,120,0.263129,4.605216,0.281214,2.032697,41.47135,14.62799,1.696615,0.036892,1.659722,3.037742
2024/07/16,11:06:22,110,0.264034,4.543728,0.278501,2.013708,41.64135,14.59016,1.686632,0.041667,1.644965,3.000217
2024/07/16,11:07:22,90,0.262225,4.580801,0.278501,2.005570,41.76794,14.59016,1.687934,0.038484,1.649450,3.014685
2024/07/16,11:08:22,100,0.266746,4.573568,0.286639,1.985677,41.89453,14.62799,1.687500,0.038773,1.648727,2.992983
2024/07/16,11:09:22,100,0.263129,4.578089,0.281214,2.027271,42.02112,14.62799,1.684028,0.038773,1.645255,3.021466
2024/07/16,11:10:22,130,0.264034,4.561813,0.281214,1.976635,42.16218,14.62799,1.682075,0.039786,1.642289,2.988010
2024/07/16,11:11:22,120,0.264938,5.445240,0.281214,2.885381,42.36111,14.65322,1.054905,0.056134,0.998770,3.880932
2024/07/16,11:12:22,140,0.266746,5.475984,0.273980,2.875434,42.70833,14.64060,1.065538,0.050058,1.015480,3.901729
2024/07/16,11:13:22,150,0.264938,5.430772,0.272172,2.879955,42.93982,14.64060,1.053819,0.050781,1.003038,3.883192
2024/07/16,11:14:22,160,0.266746,5.461516,0.280310,2.876338,43.15683,14.64060,1.054253,0.050203,1.004051,3.888618
2024/07/16,11:15:22,130,0.266746,5.480505,0.283022,2.909795,43.30150,14.65322,1.056207,0.050058,1.006149,3.912127
2024/07/16,11:16:22,130,0.266746,5.466037,0.272172,2.886285,43.42810,14.65322,1.059028,0.050347,1.008681,3.903989
2024/07/16,11:17:22,130,0.264938,5.452474,0.273980,2.888997,43.63787,14.66583,1.059028,0.051794,1.007234,3.896755
2024/07/16,11:18:22,130,0.264938,5.457899,0.276693,2.911603,43.89468,14.65322,1.067274,0.051794,1.015480,3.908058
2024/07/16,11:19:22,140,0.266746,5.437102,0.285735,2.912507,44.02850,14.66583,1.067925,0.055700,1.012225,3.889070
2024/07/16,11:20:22,120,0.269459,5.473271,0.275788,2.916124,44.14424,14.65322,1.050998,0.054977,0.996022,3.918909
2024/07/16,11:21:22,140,0.268555,5.437102,0.285735,2.917933,44.33232,14.64060,1.054253,0.053096,1.001157,3.891782
2024/07/16,11:22:22,130,0.267650,5.463325,0.282118,2.904369,44.53487,14.65322,1.054253,0.054398,0.999855,3.901729
2024/07/16,11:23:22,100,0.266746,5.403646,0.282118,2.887189,44.60720,14.64060,1.066840,0.051649,1.015191,3.863299
2024/07/16,11:24:22,110,0.268555,5.429868,0.280310,2.895327,44.81699,14.65322,1.069227,0.051794,1.017434,3.882288
2024/07/16,11:25:22,160,0.268555,5.457899,0.280310,2.913411,45.03762,14.69105,1.061632,0.051794,1.009838,3.905345
2024/07/16,11:26:22,120,0.271267,5.409976,0.283022,2.880859,45.07378,14.69105,1.056858,0.052083,1.004774,3.862395
2024/07/16,11:27:22,120,0.269459,5.463325,0.280310,2.922454,45.31973,14.69105,1.065755,0.056858,1.008898,3.912580
2024/07/16,11:28:22,150,0.271267,5.396412,0.277597,2.876338,45.42824,14.70366,1.054253,0.052517,1.001736,3.858778
