Date,Time,Millisecond,PT1[bar],PT2[Bar],PT3[bar],PT4[bar],TT1[°C],LT1[%],FIT1[m³/h],FIT2[m³/h],FIT3[m³/h],TMP[bar]
2024/07/15,12:47:21,30,0.248662,0.160048,0.037977,0.151910,27.24609,14.27491,0.000217,-0.000289,0.000506,0.118001
2024/07/15,12:48:21,60,0.245949,0.159144,0.034361,0.151910,27.17376,14.28752,0.000434,-0.000434,0.000868,0.121166
2024/07/15,12:49:21,60,0.249566,0.154622,0.032552,0.151910,27.22078,14.19924,-0.000434,-0.124711,0.124277,0.120714
2024/07/15,12:50:21,80,0.245949,0.154622,0.033456,0.151910,27.22078,14.32535,-0.000651,-0.124711,0.124060,0.119810
2024/07/15,12:51:21,60,0.248662,4.284216,0.069625,3.686523,26.56612,14.22446,0.244792,-0.000434,0.245226,3.915744
2024/07/15,12:52:21,50,0.248662,2.990270,0.099465,2.082429,26.69271,14.31274,1.651476,-0.000434,1.651910,2.436885
2024/07/15,12:53:21,100,0.249566,3.577112,0.120262,1.062464,27.07248,14.31274,1.574002,-0.124855,1.698857,2.199526
2024/07/15,12:54:21,80,0.248662,5.963361,0.151005,3.351960,27.97671,14.33796,0.644531,-0.125145,0.769676,4.506655
2024/07/15,12:55:21,110,0.249566,6.000434,0.190791,3.368236,28.66392,14.31274,0.634766,-0.124855,0.759621,4.493544
2024/07/15,12:56:21,20,0.250470,4.919886,0.222439,2.262370,29.10518,14.31274,1.509766,-0.001157,1.510923,3.368689
2024/07/15,12:57:21,120,0.250470,4.896376,0.251374,2.269603,29.69835,14.35057,1.510851,-0.001302,1.512153,3.331615
2024/07/15,12:58:21,50,0.253183,4.969618,0.271267,2.289496,30.40003,14.33796,1.509549,0.063802,1.445747,3.358290
2024/07/15,12:59:21,50,0.251374,4.911747,0.268555,2.251519,31.05107,14.32535,1.510417,0.065249,1.445168,3.313078
2024/07/15,13:00:21,50,0.251374,4.370117,0.272172,1.725260,31.65871,14.37579,1.847005,0.052951,1.794054,2.775517
2024/07/15,13:01:21,80,0.254087,4.331235,0.273076,1.699942,32.21209,14.35057,1.835286,0.052228,1.783059,2.742513
2024/07/15,13:02:21,60,0.253183,3.804977,0.276693,1.218895,32.71846,14.33796,1.881510,0.042679,1.838831,2.235243
2024/07/15,13:03:21,60,0.251374,3.953270,0.276693,1.358145,33.17419,14.33796,2.003689,0.045718,1.957972,2.379015
2024/07/15,13:04:21,50,0.254087,3.972258,0.271267,1.335540,33.75651,14.32535,1.996528,0.046296,1.950232,2.382632
2024/07/15,13:05:21,60,0.255896,3.929760,0.275788,1.320168,34.21947,14.33796,1.981337,0.050203,1.931134,2.349175
2024/07/15,13:06:21,60,0.254991,3.929760,0.271267,1.293945,34.70414,14.35057,1.979167,0.045718,1.933449,2.336064
2024/07/15,13:07:21,90,0.255896,3.921622,0.271267,1.311126,35.10561,14.33796,1.973307,0.047020,1.926288,2.345106
2024/07/15,13:08:21,80,0.255896,3.919813,0.275788,1.340061,35.65538,14.37579,1.990017,0.049913,1.940104,2.354149
2024/07/15,13:09:21,50,0.257704,3.866464,0.273076,1.265914,36.09664,14.37579,1.982856,0.049624,1.933232,2.293113
2024/07/15,13:10:21,60,0.257704,3.918005,0.271267,1.344582,36.48365,14.35057,1.989149,0.050781,1.938368,2.360026
2024/07/15,13:11:21,60,0.262225,3.942419,0.273076,1.331923,36.88513,14.40101,1.977648,0.049624,1.928024,2.364095
2024/07/15,13:12:21,20,0.259512,3.885453,0.275788,1.302988,37.32639,14.38840,1.990451,0.052373,1.938079,2.318432
2024/07/15,13:13:21,50,0.258608,3.901729,0.273980,1.285807,37.71701,14.38840,1.917969,0.048756,1.869213,2.319788
2024/07/15,13:14:21,50,0.262225,3.853805,0.278501,1.275861,38.12934,14.38840,1.939453,0.049913,1.889540,2.286332
2024/07/15,13:15:21,80,0.260417,3.919813,0.273980,1.342773,38.54528,14.41362,1.995443,0.052373,1.943070,2.361382
2024/07/15,13:16:21,40,0.260417,3.965024,0.275788,1.365379,38.97208,14.38840,2.001085,0.051794,1.949291,2.389413
2024/07/15,13:17:21,30,0.262225,3.898112,0.276693,1.331018,39.27951,14.41362,2.007812,0.054253,1.953559,2.337873
2024/07/15,13:18:21,40,0.264938,3.890878,0.278501,1.311126,39.55078,14.45145,2.004774,0.055122,1.949653,2.322501
2024/07/15,13:19:20,970,0.264034,3.861039,0.275788,1.285807,39.98843,14.45145,1.981988,0.051505,1.930483,2.297634
2024/07/15,13:20:21,60,0.262225,3.880932,0.272172,1.334635,40.24161,14.46406,1.995443,0.055266,1.940176,2.335612
2024/07/15,13:21:20,990,0.264938,3.893591,0.273980,1.345486,40.60691,14.45145,1.992188,0.058304,1.933883,2.345558
2024/07/15,13:22:21,0,0.260417,3.907154,0.278501,1.324689,40.82393,14.46406,2.001085,0.056713,1.944372,2.337420
2024/07/15,13:23:21,0,0.262225,3.939706,0.275788,1.345486,41.20370,14.46406,2.004557,0.058738,1.945819,2.366808
2024/07/15,13:24:21,20,0.266746,3.929760,0.276693,1.348199,41.42434,14.47667,2.011936,0.056424,1.955512,2.362287
2024/07/15,13:25:21,20,0.260417,3.788701,0.275788,1.238788,41.68475,14.47667,1.946181,0.050781,1.895399,2.237956
2024/07/15,13:26:21,10,0.262225,3.886357,0.276693,1.315647,41.98133,14.46406,1.997613,0.056713,1.940900,2.324309
2024/07/15,13:27:21,20,0.263129,3.766095,0.277597,1.205331,42.22728,14.46406,1.871745,0.047888,1.823857,2.208116
2024/07/15,13:28:20,980,0.263129,3.893591,0.280310,1.340965,42.41898,14.50189,1.993273,0.053819,1.939453,2.336968
2024/07/15,13:29:21,30,0.264034,3.857422,0.276693,1.235171,42.60706,14.50189,1.923394,0.050203,1.873192,2.269604
2024/07/15,13:30:21,10,0.264938,3.888165,0.277597,1.329210,42.82769,14.51450,2.003472,0.055266,1.948206,2.331091
2024/07/15,13:31:21,40,0.268555,3.831199,0.280310,1.273148,43.07726,14.53972,1.963976,0.053530,1.910446,2.271864
2024/07/15,13:32:21,0,0.268555,3.829391,0.278501,1.236075,43.29427,14.46406,1.937500,0.051794,1.885706,2.261466
2024/07/15,13:33:20,990,0.264938,3.838433,0.277597,1.277669,43.49320,14.51450,1.949870,0.049624,1.900246,2.280454
2024/07/15,13:34:20,990,0.267650,3.884549,0.277597,1.268627,43.69575,14.52711,1.929253,0.053530,1.875723,2.298991
2024/07/15,13:35:20,970,0.267650,3.862847,0.280310,1.299371,43.89829,14.53972,1.954644,0.056424,1.898220,2.300799
2024/07/15,13:36:20,950,0.268555,3.867368,0.280310,1.259585,44.11531,14.53972,1.931424,0.048900,1.882523,2.283167
2024/07/15,13:37:20,980,0.267650,3.736256,0.276693,1.164641,44.34679,14.57755,1.864366,0.047454,1.816913,2.176920
2024/07/15,13:38:21,20,0.266746,4.521122,0.278501,1.946795,44.54934,14.57755,1.710503,0.074074,1.636429,2.955458
2024/07/15,13:39:20,970,0.268555,4.543728,0.283022,1.958550,44.63614,14.56494,1.713542,0.076244,1.637297,2.968117
2024/07/15,13:40:21,20,0.266746,4.519314,0.280310,1.948604,44.73018,14.59016,1.712674,0.070312,1.642361,2.953650
2024/07/15,13:41:20,980,0.266746,4.534686,0.280310,1.935040,44.90379,14.56494,1.712891,0.062645,1.650246,2.954554
2024/07/15,13:42:21,30,0.267650,4.473199,0.277597,1.941370,45.14251,14.56494,1.710503,0.064091,1.646412,2.929688
2024/07/15,13:43:21,10,0.268555,4.516602,0.283022,1.975731,45.21846,14.59016,1.708333,0.062211,1.646123,2.963144
2024/07/15,13:44:21,20,0.267650,4.509367,0.284831,1.972114,45.30888,14.57755,1.713325,0.072627,1.640697,2.955910
2024/07/15,13:45:21,20,0.269459,4.493996,0.282118,1.949508,45.55483,14.59016,1.717882,0.074653,1.643229,2.950484
2024/07/15,13:46:21,20,0.267650,4.499421,0.280310,1.935040,45.60185,14.59016,1.710721,0.067274,1.643446,2.938730
2024/07/15,13:47:20,970,0.267650,4.507559,0.281214,1.930519,45.72844,14.59016,1.712891,0.064091,1.648799,2.937826
2024/07/15,13:48:20,950,0.269459,4.503038,0.281214,1.971209,45.88758,14.57755,1.708333,0.066696,1.641638,2.955910
2024/07/15,13:49:20,970,0.268555,4.507559,0.280310,1.968497,45.91652,14.56494,1.712891,0.065249,1.647642,2.957718
2024/07/15,13:50:20,970,0.267650,4.531069,0.278501,1.954933,46.10098,14.57755,1.712674,0.061921,1.650752,2.964500
2024/07/15,13:51:21,0,0.267650,4.534686,0.283022,1.975731,46.16247,14.60277,1.710286,0.065972,1.644314,2.972186
2024/07/15,13:52:21,0,0.269459,4.572663,0.284831,1.984773,46.28545,14.57755,1.712891,0.064381,1.648510,2.993887
2024/07/15,13:53:20,970,0.271267,4.558196,0.282118,1.973018,46.39034,14.62799,1.717665,0.064815,1.652850,2.983489
2024/07/15,13:54:21,0,0.269459,4.557292,0.280310,1.959455,46.47714,14.62799,1.719401,0.062211,1.657190,2.978063
2024/07/15,13:55:21,10,0.269459,4.483145,0.277597,1.949508,46.55671,14.60277,1.710069,0.065394,1.644676,2.938730
2024/07/15,13:56:21,0,0.267650,4.525644,0.280310,1.982060,46.62543,14.62799,1.712674,0.062500,1.650174,2.973542
2024/07/15,13:57:21,10,0.267650,4.501230,0.282118,1.971209,46.68330,14.60277,1.715061,0.063947,1.651114,2.954102
2024/07/15,13:58:21,30,0.271267,4.525644,0.283022,1.963071,46.79181,14.60277,1.708550,0.066262,1.642289,2.961335
2024/07/15,13:59:21,20,0.269459,4.518410,0.282118,1.960359,46.82075,14.65322,1.711155,0.070312,1.640842,2.957266
2024/07/15,14:00:20,980,0.266746,4.543728,0.282118,1.949508,46.97627,14.60277,1.717231,0.066840,1.650391,2.964500
2024/07/15,14:01:21,30,0.271267,4.507559,0.283022,1.955838,46.93649,14.60277,1.710503,0.069589,1.640914,2.948676
2024/07/15,14:02:21,30,0.269459,4.552771,0.277597,1.963976,47.08478,14.62799,1.710286,0.066696,1.643591,2.980776
2024/07/15,14:03:20,990,0.271267,4.512985,0.284831,1.926902,47.12818,14.60277,1.712891,0.060330,1.652561,2.935113
2024/07/15,14:04:20,990,0.269459,4.546441,0.280310,1.950412,47.11733,14.62799,1.710069,0.061053,1.649016,2.968117
2024/07/15,14:05:20,970,0.271267,4.495804,0.283022,1.939562,47.28009,14.66583,1.712674,0.060764,1.651910,2.934660
2024/07/15,14:06:20,970,0.268555,4.525644,0.282118,1.960359,47.26562,14.62799,1.711155,0.067998,1.643157,2.960883
2024/07/15,14:07:20,960,0.269459,4.513889,0.282118,1.926902,47.28371,14.65322,1.709635,0.060330,1.649305,2.935113
2024/07/15,14:08:21,30,0.271267,4.484953,0.283022,1.930519,47.42115,14.69105,1.710721,0.060330,1.650391,2.924714
2024/07/15,14:09:20,980,0.271267,5.253544,0.280310,2.653899,47.40306,14.66583,1.221137,0.078559,1.142578,3.673412
2024/07/15,14:10:20,960,0.269459,5.440719,0.280310,2.909795,47.73220,14.64060,1.006510,0.085069,0.921441,3.894947
2024/07/15,14:11:21,20,0.272172,5.449761,0.284831,2.908890,48.02156,14.65322,1.005859,0.089410,0.916450,3.894495
2024/07/15,14:12:21,0,0.273980,5.495877,0.284831,2.972186,48.19878,14.70366,1.003255,0.080295,0.922960,3.951009
2024/07/15,14:13:20,990,0.269459,5.503110,0.280310,2.949580,48.42303,14.69105,1.003906,0.080584,0.923322,3.946036
2024/07/15,14:14:21,10,0.273980,5.530237,0.281214,2.989366,48.72685,14.64060,1.009332,0.086082,0.923249,3.978588
2024/07/15,14:15:21,0,0.273076,5.490451,0.281214,2.967665,48.88599,14.66583,1.008247,0.082610,0.925637,3.947845
2024/07/15,14:16:21,30,0.275788,5.473271,0.284831,2.955006,48.99450,14.66583,1.006510,0.083478,0.923032,3.929307
2024/07/15,14:17:20,960,0.271267,5.466037,0.285735,2.932400,49.23322,14.69105,1.010851,0.083333,0.927517,3.913484
2024/07/15,14:18:20,990,0.275788,5.475080,0.278501,2.954102,49.47193,14.66583,1.006293,0.083333,0.922960,3.936090
2024/07/15,14:19:21,20,0.269459,5.494972,0.284831,2.917028,49.59491,14.69105,1.006510,0.084346,0.922164,3.921170
2024/07/15,14:20:20,960,0.272172,5.482313,0.283022,2.945059,49.71788,14.71627,1.003906,0.077402,0.926505,3.930664
2024/07/15,14:21:21,40,0.273076,5.435294,0.284831,2.904369,49.89873,14.69105,1.008247,0.086516,0.921730,3.885000
2024/07/15,14:22:20,970,0.272172,5.488643,0.281214,2.984845,50.07957,14.66583,1.006510,0.083333,0.923177,3.955530
2024/07/15,14:23:20,980,0.273980,5.489547,0.284831,2.947772,50.26765,14.69105,1.008464,0.082176,0.926288,3.933829
2024/07/15,14:24:21,30,0.273980,5.488643,0.282118,2.927879,50.37254,14.70366,1.005425,0.083478,0.921947,3.926143
2024/07/15,14:25:20,970,0.273076,5.567310,0.284831,2.980324,50.48466,14.69105,1.005859,0.083478,0.922381,3.988986
2024/07/15,14:26:20,970,0.272172,5.499494,0.282118,2.965856,50.55700,14.71627,1.008681,0.083478,0.925203,3.950557
2024/07/15,14:27:20,980,0.273076,5.461516,0.283022,2.935113,50.71253,14.71627,1.013021,0.084635,0.928385,3.915292
2024/07/15,14:28:20,960,0.276693,5.515769,0.285735,2.975803,50.83550,14.66583,1.008464,0.084635,0.923828,3.960051
2024/07/15,14:29:21,20,0.273980,5.550130,0.283022,2.994792,51.01635,14.70366,1.004774,0.081742,0.923032,3.989439
2024/07/15,14:30:20,970,0.277597,5.455186,0.285735,2.958623,51.14656,14.71627,1.013021,0.083333,0.929688,3.921170
2024/07/15,14:31:21,20,0.273076,5.497685,0.281214,2.955006,51.25506,14.69105,1.006076,0.081887,0.924190,3.945131
2024/07/15,14:32:21,30,0.272172,5.486835,0.285735,2.961335,51.34187,14.71627,1.010200,0.083189,0.927011,3.938350
2024/07/15,14:33:20,960,0.277597,5.503110,0.286639,2.958623,51.45399,14.72888,1.011285,0.081453,0.929832,3.944227
2024/07/15,14:34:20,960,0.273076,5.453378,0.287543,2.953197,51.54803,14.71627,1.005425,0.085648,0.919777,3.915744
2024/07/15,14:35:20,960,0.273076,5.551939,0.284831,2.999313,51.63484,14.71627,1.005208,0.075376,0.929832,3.990795
2024/07/15,14:36:21,0,0.275788,5.490451,0.286639,2.929688,51.71441,14.70366,1.010200,0.082610,0.927590,3.923430
2024/07/15,14:37:20,970,0.277597,5.517578,0.282118,2.985749,51.81930,14.72888,1.010417,0.078559,0.931858,3.969546
2024/07/15,14:38:20,960,0.278501,5.503110,0.282118,2.947772,51.90611,14.72888,1.010634,0.081453,0.929181,3.943323
2024/07/15,14:39:20,980,0.276693,5.471463,0.285735,2.964048,51.96397,14.75410,1.007596,0.082899,0.924696,3.932020
2024/07/15,14:40:21,50,0.275788,5.859375,0.284831,3.337493,52.04716,14.71627,0.651259,0.091146,0.560113,4.313603
2024/07/15,14:41:20,980,0.277597,6.287073,0.291160,3.833912,52.68012,14.69105,0.074219,0.098090,-0.023872,4.769332
2024/07/15,14:42:20,990,0.277597,6.295211,0.286639,3.786892,53.42520,14.71627,0.062283,0.092159,-0.029876,4.754413
2024/07/15,14:43:21,30,0.276693,6.309679,0.287543,3.848380,54.13773,14.72888,0.095486,0.096644,-0.001157,4.791486
2024/07/15,14:44:21,0,0.278501,6.294307,0.287543,3.797743,54.74175,14.71627,0.078342,0.098090,-0.019748,4.758482
2024/07/15,14:45:21,50,0.278501,6.219256,0.291160,3.719075,53.91710,14.76671,0.222005,0.092159,0.129847,4.678006
2024/07/15,14:46:21,30,0.278501,6.271701,0.285735,3.750723,54.17028,14.75410,0.218316,0.095197,0.123119,4.725477
2024/07/15,14:47:21,40,0.280310,6.257234,0.289352,3.777850,54.55006,14.72888,0.207899,0.092303,0.115596,4.728190
2024/07/15,14:48:21,10,0.278501,6.249095,0.292065,3.678385,54.79962,14.72888,0.216363,0.093461,0.122902,4.671676
2024/07/15,14:49:21,50,0.280310,6.222873,0.294777,3.708225,54.88643,14.75410,0.213976,0.093027,0.120949,4.670772
2024/07/15,14:50:21,30,0.280310,6.243670,0.292065,3.763382,54.90451,14.75410,0.202908,0.091435,0.111473,4.711462
2024/07/15,14:51:20,970,0.278501,6.193938,0.293873,3.686523,54.90813,14.72888,0.228299,0.092159,0.136140,4.646358
2024/07/15,14:52:21,30,0.281214,6.257234,0.291160,3.743490,54.96600,14.77932,0.210720,0.093461,0.117260,4.709201
2024/07/15,14:53:21,10,0.278501,6.235532,0.291160,3.735352,55.11068,14.75410,0.213976,0.095631,0.118345,4.694282
2024/07/15,14:54:20,990,0.278501,6.226490,0.289352,3.705512,55.15046,14.76671,0.218750,0.089265,0.129485,4.676649
2024/07/15,14:55:20,990,0.278501,6.240958,0.293873,3.777850,55.14685,14.75410,0.213759,0.088686,0.125072,4.715531
2024/07/15,14:56:20,990,0.283022,6.277127,0.294777,3.763382,55.22280,14.75410,0.209635,0.093750,0.115885,4.725477
2024/07/15,14:57:21,10,0.280310,6.235532,0.293873,3.686523,55.34578,14.77932,0.200304,0.088976,0.111328,4.667155
2024/07/15,14:58:21,0,0.278501,6.216544,0.292065,3.753436,55.35662,14.72888,0.211806,0.087240,0.124566,4.702872
2024/07/15,14:59:21,20,0.282118,6.175853,0.286639,3.687428,55.33854,14.76671,0.219835,0.090856,0.128979,4.645001
2024/07/15,15:00:21,10,0.278501,6.277127,0.290256,3.738968,55.46513,14.79193,0.208333,0.087529,0.120804,4.717792
2024/07/15,15:01:21,30,0.278501,6.272605,0.294777,3.746202,55.55917,14.77932,0.213976,0.089988,0.123987,4.714626
2024/07/15,15:02:20,990,0.278501,6.294307,0.292065,3.785988,55.52300,14.75410,0.203125,0.091580,0.111545,4.748083
2024/07/15,15:03:21,20,0.276693,6.237341,0.292065,3.711842,55.59534,14.79193,0.198785,0.091435,0.107350,4.682527
2024/07/15,15:04:21,20,0.280310,6.175853,0.292065,3.668439,55.67130,14.76671,0.207682,0.090567,0.117115,4.630081
2024/07/15,15:05:20,980,0.278501,6.285264,0.295681,3.784180,55.61704,14.76671,0.200087,0.090712,0.109375,4.743562
2024/07/15,15:06:20,990,0.278501,6.245479,0.291160,3.730830,55.67130,14.76671,0.205512,0.090133,0.115379,4.696994
2024/07/15,15:07:20,990,0.280310,6.258138,0.292065,3.775137,55.80150,14.79193,0.201823,0.089265,0.112558,4.724573
2024/07/15,15:08:20,980,0.278501,6.275318,0.296586,3.719075,55.77257,14.76671,0.198568,0.088976,0.109592,4.700611
2024/07/15,15:09:21,20,0.278501,6.250904,0.293873,3.729926,55.79427,14.82976,0.209418,0.087674,0.121745,4.696542
2024/07/15,15:10:21,40,0.280310,6.288882,0.294777,3.790509,55.90278,14.82976,0.188151,0.088976,0.099175,4.748987
2024/07/15,15:11:20,980,0.277597,6.230107,0.293873,3.703704,55.88469,14.79193,0.202908,0.087529,0.115379,4.673032
2024/07/15,15:12:20,990,0.280310,6.210214,0.294777,3.687428,55.88108,14.77932,0.207465,0.087674,0.119792,4.654044
2024/07/15,15:13:20,980,0.282118,6.250904,0.292065,3.730830,56.00767,14.79193,0.213976,0.087674,0.126302,4.698802
2024/07/15,15:14:21,10,0.280310,6.226490,0.291160,3.712746,56.00043,14.77932,0.202257,0.089120,0.113137,4.678458
2024/07/15,15:15:20,990,0.282118,6.246383,0.293873,3.753436,55.98958,14.84237,0.197917,0.088686,0.109230,4.706037
2024/07/15,15:16:20,970,0.281214,6.284360,0.293873,3.785988,56.12703,14.82976,0.195530,0.089265,0.106264,4.741302
2024/07/15,15:17:21,20,0.281214,6.318721,0.293873,3.780563,56.12703,14.79193,0.212674,0.087095,0.125579,4.755769
2024/07/15,15:18:21,50,0.281214,6.258138,0.296586,3.744394,56.31872,14.84237,0.168620,0.087240,0.081380,4.704680
2024/07/15,15:19:21,10,0.280310,6.259042,0.293873,3.750723,56.58999,14.81715,0.158420,0.087240,0.071181,4.711010
2024/07/15,15:20:20,990,0.280310,6.296115,0.290256,3.763382,56.59722,14.81715,0.148220,0.088976,0.059245,4.739493
