Date,Time,Millisecond,PT1[bar],PT2[Bar],PT3[bar],PT4[bar],TT1[°C],LT1[%],FIT1[m³/h],FIT2[m³/h],FIT3[m³/h],TMP[bar]
2024/07/16,12:31:22,140,0.273076,0.159144,0.269459,0.022606,35.45284,14.62799,-0.002821,5.453920,-5.456741,-0.178584
2024/07/16,12:38:31,320,0.267650,3.002025,0.293873,2.416088,41.60156,14.62799,0.993056,-0.003545,0.996600,2.415184
2024/07/16,12:39:31,340,0.267650,2.577040,0.280310,1.131185,35.66262,14.60277,2.164062,-0.001628,2.165690,1.573803
2024/07/16,12:40:31,390,0.262225,4.837601,0.282118,2.229818,35.95559,14.65322,1.592882,0.020942,1.571940,3.246618
2024/07/16,12:41:31,320,0.262225,4.801432,0.276693,2.233435,36.04239,14.65322,1.590061,0.022461,1.567600,3.240741
2024/07/16,12:42:31,320,0.260417,4.858398,0.280310,2.247902,36.28834,14.60277,1.589844,0.022244,1.567600,3.272840
2024/07/16,12:43:31,400,0.260417,4.890046,0.278501,2.272316,36.49812,14.62799,1.585721,0.022027,1.563694,3.302680
2024/07/16,12:44:31,310,0.260417,4.824038,0.281214,2.236147,36.62833,14.64060,1.595052,0.022027,1.573025,3.248879
2024/07/16,12:45:31,350,0.259512,4.787869,0.281214,2.203595,36.82726,14.65322,1.597656,0.021810,1.575846,3.214518
2024/07/16,12:46:31,340,0.259512,3.748011,0.275788,1.171875,36.78386,14.69105,2.175130,0.013780,2.161350,2.184154
2024/07/16,12:47:31,310,0.260417,3.713650,0.266746,1.095920,36.96470,14.69105,2.180556,0.014214,2.166341,2.138039
2024/07/16,12:48:31,320,0.263129,3.782371,0.272172,1.137514,37.07320,14.65322,2.171224,0.014106,2.157118,2.187771
2024/07/16,12:49:31,350,0.260417,3.766095,0.271267,1.116717,37.22150,14.69105,2.171658,0.013889,2.157769,2.170139
2024/07/16,12:50:31,400,0.258608,3.748011,0.275788,1.139323,37.41681,14.65322,2.162109,0.014323,2.147786,2.167878
2024/07/16,12:51:31,340,0.260417,3.731735,0.275788,1.229745,37.47830,14.65322,2.170356,0.014974,2.155382,2.204952
2024/07/16,12:52:31,330,0.260417,3.766095,0.266746,1.103154,37.65191,14.66583,2.164931,0.013889,2.151042,2.167878
2024/07/16,12:53:31,360,0.263129,3.709129,0.271267,1.082357,37.85084,14.70366,2.164931,0.013238,2.151693,2.124475
2024/07/16,12:54:31,340,0.263129,3.757957,0.272172,1.152886,37.92318,14.70366,2.164062,0.013129,2.150933,2.183250
2024/07/16,12:55:31,350,0.259512,3.766999,0.272172,1.157407,38.03530,14.69105,2.169054,0.014323,2.154731,2.190032
2024/07/16,12:56:31,360,0.263129,3.737160,0.264938,1.116717,38.23785,14.69105,2.166450,0.012804,2.153646,2.162001
2024/07/16,12:57:31,350,0.263129,3.741681,0.272172,1.096824,38.39699,14.69105,2.159939,0.014214,2.145725,2.147081
2024/07/16,12:58:31,370,0.262225,3.708225,0.278501,1.148365,38.45848,14.71627,2.161675,0.014323,2.147352,2.152506
2024/07/16,12:59:31,330,0.260417,3.713650,0.283022,1.159216,38.54528,14.71627,2.164062,0.015191,2.148871,2.153411
2024/07/16,13:00:31,360,0.260417,3.795934,0.278501,1.207140,38.68272,14.69105,2.164714,0.013889,2.150825,2.223036
2024/07/16,13:01:31,300,0.259512,3.745298,0.275788,1.100441,38.81293,14.71627,2.161892,0.015191,2.146701,2.147081
2024/07/16,13:02:31,330,0.262225,3.722692,0.273076,1.149269,39.00825,14.72888,2.157552,0.015299,2.142252,2.162905
2024/07/16,13:03:31,330,0.262225,3.694661,0.273076,1.100441,39.15654,14.71627,2.164931,0.015299,2.149631,2.124475
2024/07/16,13:04:31,310,0.260417,3.695566,0.280310,1.150174,39.25420,14.71627,2.152778,0.015734,2.137044,2.142560
2024/07/16,13:05:31,290,0.262225,3.770616,0.272172,1.176396,39.33377,14.71627,2.159505,0.015299,2.144206,2.201335
2024/07/16,13:06:31,280,0.263129,3.726309,0.272172,1.140227,39.41334,14.71627,2.152778,0.015191,2.137587,2.161097
2024/07/16,13:07:31,310,0.259512,3.714554,0.273076,1.114909,39.50738,14.75410,2.157118,0.014865,2.142253,2.141656
2024/07/16,13:08:30,820,0.262225,3.698278,0.273076,1.151078,39.60865,14.70366,2.156467,0.014106,2.142361,2.151602
2024/07/16,13:09:30,900,0.263129,3.666631,0.273980,1.113100,39.73162,14.70366,2.150174,0.013889,2.136285,2.114077
2024/07/16,13:10:30,840,0.263129,3.750723,0.273076,1.142036,39.84737,14.71627,2.155599,0.014214,2.141384,2.173304
2024/07/16,13:11:30,830,0.260417,3.696470,0.273076,1.128472,39.95587,14.70366,2.154948,0.015299,2.139648,2.139395
2024/07/16,13:12:30,860,0.262225,3.717267,0.271267,1.100441,40.05715,14.75410,2.150608,0.015191,2.135417,2.137587
2024/07/16,13:13:30,870,0.263129,3.723597,0.271267,1.119430,40.17289,14.71627,2.155382,0.014974,2.140408,2.150246
2024/07/16,13:14:30,850,0.263129,3.737160,0.273076,1.134802,40.27416,14.75410,2.148654,0.014974,2.133681,2.162905
2024/07/16,13:15:30,830,0.264034,3.700991,0.275788,1.107675,40.38990,14.71627,2.150174,0.015191,2.134983,2.128545
2024/07/16,13:16:30,850,0.264938,3.714554,0.280310,1.100441,40.48394,14.72888,2.152995,0.015191,2.137804,2.127188
2024/07/16,13:17:30,850,0.264034,3.720884,0.272172,1.157407,40.58521,14.76671,2.152778,0.015299,2.137478,2.166974
2024/07/16,13:18:30,850,0.264034,4.596173,0.282118,2.058015,40.71904,14.71627,1.703125,0.023329,1.679796,3.044976
2024/07/16,13:19:30,880,0.264938,4.605216,0.273076,2.061632,40.86372,14.71627,1.703993,0.023112,1.680881,3.060348
2024/07/16,13:20:30,850,0.264938,4.635055,0.283022,2.048069,40.97222,14.75410,1.703125,0.023438,1.679688,3.058539
2024/07/16,13:21:30,890,0.264938,4.683883,0.281214,2.071578,41.08796,14.72888,1.691840,0.023112,1.668728,3.096517
2024/07/16,13:22:30,870,0.266746,4.630534,0.264938,2.031792,41.18924,14.72888,1.697049,0.021810,1.675239,3.066225
2024/07/16,13:23:30,900,0.266746,4.647714,0.283022,2.054398,41.30498,14.75410,1.700304,0.024089,1.676215,3.068034
2024/07/16,13:24:30,910,0.264034,4.650427,0.280310,2.081525,41.37008,14.71627,1.695530,0.024414,1.671116,3.085666
2024/07/16,13:25:30,850,0.263129,4.611545,0.283022,2.067057,41.41348,14.79193,1.702691,0.024523,1.678168,3.056279
2024/07/16,13:26:30,900,0.264938,4.618779,0.271267,2.048973,41.49305,14.77932,1.689887,0.024197,1.665690,3.062608
2024/07/16,13:27:30,910,0.266746,4.673032,0.275788,2.088759,41.54007,14.75410,1.710503,0.024089,1.686415,3.105107
2024/07/16,13:28:30,870,0.267650,4.676649,0.269459,2.084238,41.64135,14.79193,1.702474,0.024089,1.678385,3.110984
2024/07/16,13:29:30,870,0.267650,4.632342,0.275788,2.044452,41.75709,14.79193,1.707899,0.024740,1.683160,3.062608
2024/07/16,13:30:30,830,0.264034,4.645905,0.293873,2.084238,41.81134,14.76671,1.699436,0.023980,1.675456,3.071198
2024/07/16,13:31:30,840,0.264034,4.638672,0.280310,2.077004,41.85474,14.79193,1.705295,0.022895,1.682400,3.077528
2024/07/16,13:32:30,870,0.266746,4.644097,0.276693,2.076099,41.88730,14.75410,1.701389,0.023003,1.678385,3.089735
2024/07/16,13:33:30,890,0.263129,4.640480,0.278501,2.057111,41.99942,14.79193,1.714844,0.023329,1.691515,3.070294
2024/07/16,13:34:30,880,0.267650,4.677554,0.280310,2.067057,42.12601,14.77932,1.712891,0.023655,1.689236,3.091996
2024/07/16,13:35:30,890,0.266746,4.680266,0.277597,2.098705,42.14771,14.77932,1.701389,0.024197,1.677192,3.111888
