"Date","Time","Millisecond","PT1[bar]","PT2[Bar]","PT3[bar]","PT4[bar]","TT1[°C]","LT1[%]","FIT1[m³/h]","FIT2[m³/h]","FIT3[m³/h]","TMP[bar]"
"2023/11/08","12:06:32","290","0.207972","0.174515","0.025318","0.061487","9.71861","44.80454","0.000651","0.001411","-0.000760","0.092683"
"2023/11/08","12:07:32","330","2.813947","5.055519","0.033456","2.516457","11.36791","44.82976","0.964627","0.001085","0.963542","3.752532"
"2023/11/08","12:08:32","310","0.212493","0.189887","0.105794","0.056966","11.20153","44.80454","0.000000","0.000868","-0.000868","0.016728"
"2023/11/08","12:09:32","320","1.277669","3.653971","0.187174","0.972946","11.85258","44.90542","2.349392","0.000868","2.348524","2.126284"
"2023/11/08","12:10:32","320","2.362739","4.682075","0.187174","2.048069","12.09852","44.86759","1.772135","0.342990","1.429145","3.177897"
"2023/11/08","12:11:32","270","2.355505","4.735424","0.187174","2.062536","12.25405","44.90542","1.780816","0.347222","1.433594","3.211806"
"2023/11/08","12:12:32","260","3.262442","5.637840","0.197121","2.995696","12.44936","45.03152","1.083116","0.463650","0.619466","4.119647"
"2023/11/08","12:13:32","270","3.266059","5.648691","0.199834","2.992983","12.69893","44.93064","1.087240","0.465820","0.621419","4.121004"
"2023/11/08","12:14:32","250","3.252496","5.603479","0.199834","2.998409","12.88701","44.96848","1.087457","0.468207","0.619249","4.101110"
"2023/11/08","12:15:32","260","3.260634","5.628798","0.198929","2.981228","13.03892","44.95586","1.084635","0.466797","0.617839","4.106083"
"2023/11/08","12:16:32","260","3.274197","5.619755","0.198929","2.990270","13.13657","44.96848","1.087240","0.468207","0.619032","4.106083"
"2023/11/08","12:17:32","260","3.282335","5.675817","0.197121","2.999313","13.20529","45.05675","1.088976","0.467990","0.620985","4.140444"
"2023/11/08","12:18:32","280","3.298611","5.648691","0.199834","3.027344","13.35720","45.03152","1.088976","0.467665","0.621311","4.138184"
"2023/11/08","12:19:32","300","3.250687","5.599863","0.201642","2.974899","13.49465","45.04414","1.093099","0.467773","0.625326","4.085739"
"2023/11/08","12:20:32","280","3.260634","5.589916","0.203451","2.953197","13.64294","45.05675","1.088325","0.467665","0.620660","4.068106"
"2023/11/08","12:21:32","310","3.266963","5.611618","0.199834","2.979420","13.79123","45.03152","1.090929","0.467990","0.622938","4.095685"
"2023/11/08","12:22:32","300","3.252496","5.617947","0.203451","2.977611","13.93591","45.09458","1.090712","0.469401","0.621311","4.094328"
"2023/11/08","12:23:32","300","3.238932","5.568214","0.198929","2.954102","14.06250","45.08197","1.094184","0.469944","0.624240","4.062229"
"2023/11/08","12:24:32","300","3.269676","5.624277","0.201642","2.980324","14.17101","45.05675","1.088759","0.470161","0.618598","4.108344"
"2023/11/08","12:25:32","290","3.279622","5.616138","0.205259","2.990270","14.29760","45.09458","1.095920","0.470052","0.625868","4.097946"
"2023/11/08","12:26:32","260","3.253400","5.585395","0.200738","2.966761","14.38802","45.08197","1.094835","0.469944","0.624891","4.075340"
"2023/11/08","12:27:32","310","3.256113","5.595341","0.199834","2.955006","14.52185","45.08197","1.095269","0.470378","0.624892","4.075340"
"2023/11/08","12:28:32","330","3.266059","5.570927","0.199834","2.965856","14.64844","45.10719","1.094184","0.469944","0.624240","4.068558"
"2023/11/08","12:29:32","280","3.235315","5.577257","0.199834","2.945963","14.74248","45.11980","1.098741","0.471246","0.627496","4.061777"
"2023/11/08","12:30:32","270","3.271484","5.595341","0.203451","2.985749","14.83652","45.11980","1.093316","0.470703","0.622613","4.087095"
"2023/11/08","12:31:32","280","3.246166","5.568214","0.200738","2.973090","14.95587","45.14502","1.095486","0.472114","0.623372","4.069914"
"2023/11/08","12:32:32","320","3.237124","5.531141","0.203451","2.944155","15.09332","45.09458","1.093099","0.474392","0.618707","4.033293"
"2023/11/08","12:33:32","300","3.225369","5.488643","0.201642","2.916124","15.23438","45.11980","1.106771","0.474392","0.632379","4.000741"
"2023/11/08","12:34:32","250","3.271484","5.626085","0.199834","2.975803","15.37543","45.10719","1.100477","0.474392","0.626085","4.101110"
"2023/11/08","12:35:32","280","3.294090","5.595341","0.204355","3.004738","15.52011","45.14502","1.095920","0.475477","0.620443","4.095685"
"2023/11/08","12:36:31","230","3.247974","5.568214","0.205259","2.974899","15.58160","45.15763","1.090712","0.477648","0.613064","4.066298"
