"Date","Time","Millisecond","PT1[bar]","PT2[Bar]","PT3[bar]","PT4[bar]","TT1[°C]","LT1[%]","FIT1[m³/h]","FIT2[m³/h]","FIT3[m³/h]","TMP[bar]"
"2023/11/09","11:00:38","350","0.248662","0.210684","0.153718","0.060583","8.987991","44.84237","0.000651","0.000868","-0.000217","-0.018084"
"2023/11/09","11:01:38","350","0.245045","0.213397","0.153718","0.058775","9.089265","44.84237","0.001085","0.001194","-0.000109","-0.017632"
"2023/11/09","11:02:38","340","0.246853","0.210684","0.150101","0.058775","9.042245","44.85498","0.000434","-0.092122","0.092556","-0.015372"
"2023/11/09","11:03:38","350","0.245045","0.208876","0.146484","0.052445","9.096498","44.90542","0.000000","-0.092014","0.092014","-0.015824"
"2023/11/09","11:04:38","360","0.245949","0.209780","0.149197","0.054253","9.125434","44.90542","0.000000","-0.092231","0.092231","-0.017180"
"2023/11/09","11:05:38","340","0.244141","0.209780","0.149197","0.054253","9.114583","44.93064","0.000000","-0.092231","0.092231","-0.017180"
"2023/11/09","11:06:38","400","0.712529","3.131330","0.187174","0.400571","14.74248","44.93064","2.726346","-0.092231","2.818576","1.578776"
"2023/11/09","11:07:38","380","0.716146","3.070746","0.282118","0.393338","18.59447","44.98108","2.720269","0.142361","2.577908","1.449924"
"2023/11/09","11:08:38","330","0.743273","3.042716","0.262225","0.409614","18.97787","44.95586","2.715495","0.177083","2.538412","1.463939"
"2023/11/09","11:09:38","360","0.746889","3.056279","0.251374","0.416847","19.11892","44.96848","2.708984","0.176649","2.532335","1.485189"
"2023/11/09","11:10:38","330","0.751411","3.054471","0.241428","0.405093","19.19126","44.96848","2.702040","0.176649","2.525391","1.488354"
"2023/11/09","11:11:38","380","0.741464","3.068034","0.242332","0.416847","19.30700","45.01892","2.698785","0.178494","2.520291","1.500108"
"2023/11/09","11:12:38","370","0.755027","3.047237","0.233290","0.414135","19.48423","44.99369","2.692708","0.179796","2.512912","1.499656"
"2023/11/09","11:13:38","340","0.720667","3.057183","0.233290","0.404188","19.51316","44.98108","2.699653","0.179362","2.520291","1.497396"
"2023/11/09","11:14:38","340","0.745985","3.047237","0.231481","0.402380","19.71210","44.99369","2.690104","0.181966","2.508138","1.493327"
"2023/11/09","11:15:38","420","0.716146","3.022823","0.227865","0.396050","19.75188","45.04414","2.694227","0.179905","2.514323","1.481572"
"2023/11/09","11:16:38","350","0.710720","3.042716","0.231481","0.399667","19.92188","45.08197","2.690104","0.180664","2.509440","1.489710"
