"Date","Time","Millisecond","PT1[bar]","PT2[Bar]","PT3[bar]","PT4[bar]","TT1[°C]","LT1[%]","FIT1[m³/h]","FIT2[m³/h]","FIT3[m³/h]","TMP[bar]"
"2023/11/09","12:18:38","0","0.741464","3.025535","0.206163","0.403284","26.98206","45.24590","2.643446","0.073785","2.569661","1.508247"
"2023/11/09","12:19:37","360","0.747794","3.042716","0.205259","0.420464","27.10142","45.30895","2.637153","0.073242","2.563911","1.526331"
"2023/11/09","12:20:37","390","0.745985","3.012876","0.201642","0.402380","27.29311","45.40984","2.642144","0.073351","2.568794","1.505986"
"2023/11/09","12:21:37","360","0.774016","3.042716","0.207972","0.424986","27.44502","45.46028","2.628472","0.072483","2.555990","1.525879"
"2023/11/09","12:22:37","360","0.738751","3.040003","0.207972","0.422273","27.58608","45.43506","2.627604","0.072374","2.555230","1.523166"
"2023/11/09","12:23:37","380","0.746889","3.030961","0.205259","0.407805","27.71629","45.47289","2.626519","0.072374","2.554145","1.514124"
"2023/11/09","12:24:37","380","0.759549","3.063513","0.208876","0.408709","27.86097","45.43506","2.614149","0.074002","2.540148","1.527235"
"2023/11/09","12:25:37","360","0.747794","3.008355","0.205259","0.407805","27.97671","45.47289","2.634983","0.073459","2.561523","1.502821"
"2023/11/09","12:26:37","400","0.756836","3.054471","0.209780","0.418656","28.08521","45.47289","2.621094","0.072808","2.548285","1.526783"
"2023/11/09","12:27:37","370","1.101345","3.370949","0.206163","0.769495","28.20457","45.47289","2.434028","0.090386","2.343642","1.864059"
"2023/11/09","12:28:37","380","1.085069","3.368236","0.208876","0.755027","28.32031","45.47289","2.428385","0.091146","2.337240","1.852756"
"2023/11/09","12:29:37","370","1.096824","3.363715","0.209780","0.747794","28.45052","45.49811","2.434245","0.092448","2.341797","1.845974"
"2023/11/09","12:30:37","380","1.636646","3.922526","0.207972","1.311126","28.59881","45.47289","2.163846","0.121094","2.042752","2.408854"
"2023/11/09","12:31:37","410","2.303964","4.564526","0.207972","1.977539","28.75796","45.46028","1.790799","0.154622","1.636176","3.063061"
"2023/11/09","12:32:37","430","2.308485","4.625108","0.213397","2.002857","28.92072","45.46028","1.801215","0.152561","1.648654","3.100586"
"2023/11/09","12:33:37","380","3.139467","5.396412","0.219727","2.809426","29.07986","45.48550","1.236328","0.190104","1.046224","3.883192"
"2023/11/09","12:34:37","350","3.130425","5.398221","0.214301","2.816659","29.35836","45.46028","1.234158","0.183702","1.050456","3.893139"
"2023/11/09","12:35:37","380","3.624132","5.857566","0.213397","3.323025","29.45963","45.46028","0.873481","0.200195","0.673286","4.376899"
"2023/11/09","12:36:37","420","3.576208","5.889215","0.217014","3.302228","29.57538","45.46028","0.869575","0.191189","0.678385","4.378707"
"2023/11/09","12:37:37","370","3.601526","5.886502","0.212493","3.300420","29.77069","45.40984","0.853516","0.185330","0.668186","4.380968"
"2023/11/09","12:38:37","390","3.572591","5.870225","0.213397","3.277814","29.86835","45.42245","0.853082","0.182617","0.670464","4.360622"
"2023/11/09","12:39:37","380","2.090567","4.364692","0.209780","1.769567","30.02387","45.46028","1.659288","0.135417","1.523872","2.857350"
"2023/11/09","12:40:37","370","0.737847","3.029152","0.207972","0.399667","29.69835","45.52333","2.626519","0.061632","2.564887","1.506438"
"2023/11/09","12:41:37","390","0.751411","3.058992","0.206163","0.397859","29.78516","45.42245","2.619792","0.062609","2.557183","1.522262"
"2023/11/09","12:42:37","390","0.753219","3.020110","0.209780","0.416847","29.88643","45.46028","2.624349","0.062717","2.561632","1.508699"
"2023/11/09","12:43:37","380","0.757740","2.988462","0.210684","0.399667","30.03111","45.47289","2.634983","0.063694","2.571289","1.483380"
"2023/11/09","12:44:37","370","0.751411","2.991175","0.287543","0.402380","30.22642","45.46028","2.623915","0.060330","2.563585","1.409234"
"2023/11/09","12:45:37","350","0.734230","3.035482","0.291160","0.406901","30.40003","45.46028","2.630425","0.061957","2.568468","1.430031"
"2023/11/09","12:46:37","380","0.235098","0.192600","0.284831","0.029839","29.82856","45.46028","-0.001953","-0.000760","-0.001194","-0.173611"
"2023/11/09","12:47:37","410","0.230577","0.188079","0.286639","0.052445","29.44878","45.46028","-0.001519","-0.001085","-0.000434","-0.166377"
"2023/11/09","12:48:37","420","0.226056","0.187174","0.284831","0.051541","28.67477","45.46028","-0.000868","-0.000434","-0.000434","-0.165473"
"2023/11/09","12:49:37","400","0.228769","0.186270","0.283022","0.055158","27.81395","45.42245","-0.002170","0.001953","-0.004123","-0.162308"
"2023/11/09","12:50:37","400","0.226960","0.186270","0.278501","0.056966","26.92781","45.43506","-0.001519","-0.000868","-0.000651","-0.156883"
"2023/11/09","12:51:37","390","0.227865","0.182653","0.275788","0.055158","26.08507","45.47289","-0.001953","-0.093859","0.091905","-0.156883"
"2023/11/09","12:52:37","400","0.222439","0.185366","0.275788","0.055158","25.25680","45.46028","-0.001519","-0.093859","0.092339","-0.155527"
"2023/11/09","12:53:37","350","0.227865","0.185366","0.272172","0.051541","24.40683","45.47289","-0.001519","-0.094076","0.092556","-0.153718"
"2023/11/09","12:54:37","420","0.227865","0.187174","0.269459","0.055158","23.69430","45.46028","-0.001953","-0.094184","0.092231","-0.148293"
"2023/11/09","12:55:37","400","0.226960","0.182653","0.267650","0.056966","22.99262","45.46028","-0.001519","-0.094076","0.092556","-0.147841"
"2023/11/09","12:56:37","420","0.228769","0.181749","0.266746","0.060583","22.32350","45.40984","-0.001736","-0.093750","0.092014","-0.145580"
"2023/11/09","12:57:37","350","0.226960","0.180845","0.266746","0.055158","21.74841","45.46028","-0.001519","-0.093750","0.092231","-0.148745"
"2023/11/09","12:58:37","370","0.227865","0.181749","0.263129","0.056062","21.18056","45.42245","-0.001736","-0.093859","0.092122","-0.144224"
"2023/11/09","12:59:37","420","0.226056","0.182653","0.255896","0.051541","20.69227","45.46028","-0.001736","-0.093750","0.092014","-0.138798"
"2023/11/09","13:00:37","410","0.227865","0.185366","0.253183","0.052445","20.23655","45.39722","-0.001519","-0.093641","0.092122","-0.134277"
"2023/11/09","13:01:37","400","0.228769","0.179036","0.254991","0.051541","19.73741","45.43506","-0.000651","-0.093750","0.093099","-0.139703"
"2023/11/09","13:02:37","400","0.226960","0.181749","0.248662","0.055158","19.23466","45.40984","-0.001519","-0.094184","0.092665","-0.130208"
"2023/11/09","13:03:37","360","0.224248","0.186270","0.249566","0.051541","18.75723","45.40984","-0.001519","-0.094076","0.092556","-0.130660"
