datetime,time span [s],prs input [kPa],prs feed_1 [kPa],prs feed_2 [kPa],prs permeate [kPa],prs retentate [kPa],TMP [kPa],temperature [°C],viscosity permeate [Pa s],tank liters [%],flow feed [L/h],flow permeate [L/h],flow retentate [L/h],initial feed concentration [g/L],area tot [m^2],flux [L/m^2h],res tot [1/m],viscosity permeate at 20°C [Pa s],flux at 20° [L/m^2h],is_ON,time [m],flux at 20° TMP=330 [L/m^2h]
2024-07-11 11:08:45,0.0,10.0,24.8662,9.9465,2.9839,9.223099999999999,6.6008,27.04716,0.0008500168793398007,14.56494,-0.651,-0.289,-0.36200000000000004,0.0,0.99,-0.2919191919191919,-95765455093575.92,0.0010015952239218909,-0.2477410381041301,True,0.0,-12.385550626342706
2024-07-11 11:09:45,60.0,10.0,24.9566,9.765600000000001,3.2552,9.6752,6.4652,26.95674,0.0008517220741129043,14.60277,-0.868,-0.289,-0.579,0.0,0.99,-0.2919191919191919,-93610359660600.17,0.0010015951403492453,-0.24823804509283176,True,1.0,-12.670691530135878
2024-07-11 11:10:45,60.0,10.0,24.5045,9.9465,2.8935,9.042200000000001,6.6008,27.03631,0.0008502212144834742,14.60277,-0.651,-0.434,-0.217,0.0,0.99,-0.4383838383838384,-63754758176903.7,0.0010015952517692334,-0.37212959907931875,True,2.0,-18.604224896402737
2024-07-11 11:11:45,60.0,10.0,24.8662,9.5848,2.9839,9.1327,6.3748,26.96398,0.00085158535632356,14.57755,-0.651,-0.579,-0.07200000000000001,0.0,0.99,-0.5848484848484848,-46078412766288.82,0.0010015952239218909,-0.497255172019302,True,3.0,-25.741075291204382
2024-07-11 11:12:45,60.0,10.0,24.8662,9.765600000000001,3.1648,9.223099999999999,6.3748,27.0544,0.0008498805641992534,14.60277,-1.085,-1.013,-0.07200000000000001,0.0,0.99,-1.023232323232323,-26389849680546.94,0.001001595168196518,-0.8682402749021396,True,4.0,-44.94561252395465
2024-07-11 11:13:45,60.0,10.0,24.685299999999998,9.4944,3.1648,9.1327,6.1487,27.02184,0.0008504938138708407,14.60277,-1.519,-1.013,-0.506,0.0,0.99,-1.023232323232323,-25435506775058.203,0.001001595168196518,-0.8688667724194047,True,5.0,-46.631976661473736
2024-07-11 11:14:45,60.0,10.0,24.8662,9.6752,2.7127,9.042200000000001,6.646000000000001,27.00014,0.000850902957751659,14.59016,-1.085,-0.723,-0.36200000000000004,0.0,0.99,-0.7303030303030302,-38501681916010.5,0.0010015953074640801,-0.6204272363387979,True,6.0,-30.806648810081747
2024-07-11 11:15:45,60.0,10.0,24.9566,9.4944,2.8031,9.1327,6.5104,27.09057,0.000849200189886157,14.60277,-1.519,-0.723,-0.796,0.0,0.99,-0.7303030303030302,-37791748692705.11,0.0010015952796166364,-0.6191856976853389,True,7.0,-31.385364990808835
2024-07-11 11:16:45,60.0,10.0,24.8662,9.4944,2.8935,9.1327,6.419999999999999,27.13397,0.0008483849320243139,14.60277,-1.519,-1.157,-0.36200000000000004,0.0,0.99,-1.1686868686868688,-23310222447511.027,0.0010015952517692334,-0.9899171625436752,True,8.0,-50.88359246719827
2024-07-11 11:17:45,60.0,10.0,24.685299999999998,9.765600000000001,2.8935,9.223099999999999,6.6008,27.13759,0.0008483169890256796,14.62799,-0.868,-1.013,0.145,0.0,0.99,-1.023232323232323,-27375789923564.7,0.0010015952517692334,-0.8666428499784736,True,9.0,-43.32689075458979
2024-07-11 11:18:45,60.0,10.0,24.685299999999998,9.6752,2.7127,9.223099999999999,6.7364999999999995,27.13397,0.0008483849471338007,14.6406,-1.085,-1.013,-0.07200000000000001,0.0,0.99,-1.023232323232323,-27936346576162.69,0.0010015953074640801,-0.866712227964569,True,10.0,-42.45751283727571
2024-07-11 11:19:45,60.0,10.0,24.9566,9.6752,2.7127,9.042200000000001,6.646000000000001,27.15205,0.0008480456951040741,14.62799,-1.736,-0.723,-1.013,0.0,0.99,-0.7303030303030302,-38631403012695.4,0.0010015953074640801,-0.6183438923431216,True,11.0,-30.703202599041543
2024-07-11 11:20:45,60.0,10.0,24.9566,9.223099999999999,2.9839,9.042200000000001,6.2391000000000005,27.17014,0.0008477064523025772,14.65322,-1.519,-1.013,-0.506,0.0,0.99,-1.023232323232323,-25894331750149.664,0.0010015952239218909,-0.8660191481466574,True,12.0,-45.80569615623999
2024-07-11 11:21:45,60.0,10.0,24.685299999999998,9.6752,2.8031,8.770999999999999,6.419999999999999,27.22801,0.0008466227707122842,14.65322,-1.953,-1.157,-0.796,0.0,0.99,-1.1686868686868688,-23358740363155.15,0.0010015952796166364,-0.9878610003448202,True,13.0,-50.777901886883285
2024-07-11 11:22:45,60.0,10.0,24.5949,9.6752,2.8031,9.042200000000001,6.5556,27.25694,0.0008460818549547923,14.65322,-1.736,-1.157,-0.579,0.0,0.99,-1.1686868686868688,-23867360984275.16,0.0010015952796166364,-0.987229846069524,True,14.0,-49.69580956784168
2024-07-11 11:23:45,60.0,10.0,24.685299999999998,9.5848,2.7127,9.1327,6.646000000000001,27.2895,0.0008454737423934359,14.65322,-2.17,-0.723,-1.4469999999999998,0.0,0.99,-0.7303030303030302,-38748920726980.63,0.0010015953074640801,-0.6164685791858238,True,15.0,-30.610085936100184
2024-07-11 11:24:45,60.0,10.0,24.5045,9.3135,2.9839,9.042200000000001,6.1939,27.31843,0.0008449339904800334,14.62799,-1.519,-1.4469999999999998,-0.07200000000000001,0.0,0.99,-1.4616161616161614,-18055543760616.676,0.0010015952239218909,-1.2330022612815108,True,16.0,-65.69217233453858
