index,datetime,time span [s],prs input [kPa],prs feed_1 [kPa],prs feed_2 [kPa],prs permeate [kPa],prs retentate [kPa],TMP [kPa],temperature [°C],viscosity permeate [Pa s],tank liters [%],flow feed [L/h],flow permeate [L/h],flow retentate [L/h],initial feed concentration [g/L],area tot [m^2],flux [L/m^2h],res tot [1/m],viscosity permeate at 20°C [Pa s],flux at 20° [L/m^2h],is_ON,time [m],flux at 20° TMP=330 [L/m^2h]
0,2024-07-15 12:47:21,0.0,10.0,24.8662,16.0048,3.7977,15.190999999999999,11.800099999999999,27.24609,0.0008462845758627827,14.27491,0.217,-0.289,0.506,0.5,0.99,-0.2919191919191919,-171952745626996.97,0.0010015949732358096,-0.24665330410097452,True,0.0,-6.897872929324463
1,2024-07-15 12:48:21,60.0,10.0,24.5949,15.9144,3.4361,15.190999999999999,12.1166,27.17376,0.000847638559716443,14.28752,0.434,-0.434,0.868,0.5,0.99,-0.4383838383838384,-117386467040645.62,0.0010015950846240934,-0.3709992701392936,True,1.0,-10.104299815622113
2,2024-07-15 12:49:21,60.0,10.0,24.9566,15.462200000000001,3.2552,15.190999999999999,12.0714,27.22078,0.0008467580033414023,14.19924,-0.434,-124.711,124.277,0.5,0.99,-125.97070707070706,-407409605883.83026,0.0010015951403492453,-106.49682701286177,True,2.0,-2911.340268257566
3,2024-07-15 12:50:21,60.0,10.0,24.5949,15.462200000000001,3.3456,15.190999999999999,11.981,27.22078,0.0008467579959767416,14.32535,-0.651,-124.711,124.06,0.5,0.99,-125.97070707070706,-404358610479.98474,0.001001595112502061,-106.49682904752152,True,3.0,-2933.3072018764797
4,2024-07-15 12:51:21,60.0,10.0,24.8662,428.42159999999996,6.9625,368.6523,391.5744,26.56612,0.0008591522546691257,14.22446,244.792,-0.434,245.226,0.5,0.99,-0.4383838383838384,-3742761236280632.5,0.0010015939983684047,-0.3760390575138468,True,4.0,-0.3169075633636148
5,2024-07-15 12:52:21,60.0,10.0,24.8662,299.02700000000004,9.9465,208.2429,243.68850000000003,26.69271,0.0008567325035227299,14.31274,1651.4759999999999,-0.434,1651.91,0.5,0.99,-0.4383838383838384,-2335811308451180.5,0.0010015930792368684,-0.3749803100163681,True,5.0,-0.5077937707581666
6,2024-07-15 12:53:21,60.0,10.0,24.9566,357.7112,12.0262,106.24640000000001,219.95260000000002,27.07248,0.0008495395920712536,14.31274,1574.002,-124.85499999999999,1698.857,0.5,0.99,-126.1161616161616,-7390558053962.521,0.0010015924386726142,-106.97032880457556,True,6.0,-160.49007152227313
7,2024-07-15 12:54:21,60.0,10.0,24.8662,596.3361,15.1005,335.196,450.6655,27.97671,0.0008328009335892192,14.33796,644.531,-125.14500000000001,769.676,0.5,0.99,-126.40909090909092,-15411229999559.8,0.0010015914918009717,-105.10633305596663,True,7.0,-76.96415613901881
8,2024-07-15 12:55:21,60.0,10.0,24.9566,600.0434,19.0791,336.8236,449.3544,28.66392,0.000820433060613183,14.31274,634.7660000000001,-124.85499999999999,759.621,0.5,0.99,-126.1161616161616,-15634269802010.793,0.0010015902664748655,-103.30558505894868,True,8.0,-75.86627185458308
9,2024-07-15 12:56:21,60.0,10.0,25.047000000000004,491.9886,22.2439,226.23700000000002,336.8689,29.10518,0.0008126473742843445,14.31274,1509.7659999999998,-1.157,1510.923,0.5,0.99,-1.1686868686868688,-1276918321540492.8,0.0010015892918355535,-0.948223311631519,True,9.0,-0.9288886354258326
10,2024-07-15 12:57:21,60.0,10.0,25.047000000000004,489.6376,25.1374,226.96030000000002,333.16150000000005,29.69835,0.0008023681860612832,14.35057,1510.8509999999999,-1.302,1512.153,0.5,0.99,-1.3151515151515152,-1136600438677425.5,0.0010015884007877603,-1.0535622564897067,True,10.0,-1.043564591471713
11,2024-07-15 12:58:21,60.0,10.0,25.3183,496.9618,27.1267,228.94960000000003,335.829,30.40003,0.0007904776913923042,14.33796,1509.549,63.802,1445.7469999999998,0.5,0.99,64.44646464646465,23731871108238.38,0.001001587788209492,50.862733343827266,True,11.0,49.979906450791916
12,2024-07-15 12:59:21,60.0,10.0,25.1374,491.17470000000003,26.8555,225.1519,331.3078,31.05107,0.0007796982692569002,14.32535,1510.417,65.249,1445.1680000000001,0.5,0.99,65.9080808080808,23209667866726.855,0.001001587871720808,51.30694768479486,True,12.0,51.10441932240141
13,2024-07-15 13:00:21,60.0,10.0,25.1374,437.01169999999996,27.217200000000002,172.526,277.5517,31.65871,0.0007698504611894615,14.37579,1847.005,52.951,1794.054,0.5,0.99,53.48585858585859,24266159422096.6,0.001001587760341675,41.11083874007307,True,13.0,48.879458436839386
14,2024-07-15 13:01:21,60.0,10.0,25.4087,433.12350000000004,27.307599999999997,169.9942,274.2513,32.21209,0.0007610560485125102,14.35057,1835.286,52.227999999999994,1783.059,0.5,0.99,52.75555555555555,24590443014442.8,0.0010015877325047036,40.086288345194724,True,14.0,48.23486763386083
15,2024-07-15 13:02:21,60.0,10.0,25.3183,380.4977,27.669300000000003,121.88950000000001,223.5243,32.71846,0.0007531504211458398,14.33796,1881.51,42.679,1838.8310000000001,0.5,0.99,43.11010101010101,24783719238103.75,0.00100158762112637,32.41692493651612,True,15.0,47.85871258315234
16,2024-07-15 13:03:21,60.0,10.0,25.1374,395.327,27.669300000000003,135.81449999999998,237.9015,33.17419,0.0007461485244877299,14.33796,2003.689,45.718,1957.972,0.5,0.99,46.17979797979798,24855492213181.62,0.00100158762112637,34.40237019405044,True,16.0,47.72051527223093
