time [m],flow feed [L/h],flow permeate [L/h],flux at 20° [L/m^2h],k(n=2),energy CP [kWh],energy PP [kWh],res tot [1/m],temperature [°C],viscosity permeate [Pa s],vol feed [L],vol permeate [L],is temperature fixed,flow retentate [L/h],flux at 20° min [L/m^2h],prs retentate [kPa],TMP [kPa],flux at 20° TMP=330 [L/m^2h],TMP class,TMP interval
0.01,2708.310260857782,132.5117144469823,133.85021661311345,5.5e-06,,,4000000000000.0,20.0,0.000997387960393639,350.0,,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,297.77780742689436,2,100
0.1,2708.0851839207044,132.28663750990498,133.62286617162118,,0.0212929682332716,0.0060027118115595,4006817629961.262,20.0,0.000997387960393639,349.7795273778744,0.2204726221255848,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,297.27201880960143,2,100
0.2,2707.8630357016714,132.06448929087165,133.3984740311835,,0.0425841902155579,0.0120049313365904,4013569199879.4814,20.0,0.000997387960393639,349.5594249085475,0.4405750914524969,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,296.77281155186125,2,100
0.3,2707.6437627320647,131.84521632126544,133.1769861830964,,0.0638736885431129,0.0180066649452144,4020255564562.781,20.0,0.000997387960393639,349.3396878022916,0.660312197708452,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,296.2800655000135,2,100
0.4,2707.42731286438,131.62876645358057,132.9583499531117,,0.0851614854025212,0.0240079188920633,4026877563321.6216,20.0,0.000997387960393639,349.1203113562166,0.8796886437834595,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,295.793663469174,2,100
0.5,2707.213635230725,131.41508881992593,132.74251395952115,,0.1064476025807449,0.030008699319111,4033436020348.9062,20.0,0.000997387960393639,348.9012909521404,1.098709047859636,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,295.31349114998403,2,100
0.6,2707.002680202906,131.20413379210677,132.52942807283512,,0.1277320614748588,0.0360090122584179,4039931745088.23,20.0,0.000997387960393639,348.68262205452544,1.317377945474618,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,294.8394370189072,2,100
0.7,2706.794399354014,130.99585294321432,132.3190433769842,,0.1490148831014829,0.0420088636347904,4046365532590.723,20.0,0.000997387960393639,348.464300208479,1.535699791521081,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,294.3713922519141,2,100
0.8,2706.588745421456,130.79019901065683,132.11131213197666,,0.1702960881059255,0.0480082592683582,4052738163860.931,20.0,0.000997387960393639,348.24632103781533,1.7536789621847586,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,293.90925064140623,2,100
0.9,2706.385672271367,130.58712586056805,131.90618773794762,,0.1915756967710468,0.0540072048770729,4059050406192.1167,20.0,0.000997387960393639,348.02868024317684,1.9713197568232548,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,293.4529085162359,2,100
