time [m],flow feed [L/h],flow permeate [L/h],flux at 20° [L/m^2h],k(n=2),energy CP [kWh],energy PP [kWh],res tot [1/m],temperature [°C],viscosity permeate [Pa s],vol feed [L],vol permeate [L],is temperature fixed,flow retentate [L/h],flux at 20° min [L/m^2h],prs retentate [kPa],TMP [kPa],flux at 20° TMP=330 [L/m^2h],TMP class,TMP interval
0.01,2736.418806346536,160.62025993573613,162.24268680377386,5e-06,,,3300000000000.0,20.0,0.000997387960393639,350.0,,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,360.94279688108406,2,100
0.1,2735.9465676988834,160.14802128808415,161.76567806877188,,0.0215119862627501,0.0060644552988033,3309760747340.0693,20.0,0.000997387960393639,349.7331021290144,0.2668978709856465,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,359.88159116303177,2,100
0.2,2735.48308238914,159.68453597834048,161.2975110892328,,0.0430203302643679,0.0121278838058659,3319396235206.5186,20.0,0.000997387960393639,349.4669763080735,0.5330236919264625,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,358.84005577964297,2,100
0.3,2735.028114064203,159.22956765340305,160.83794712464953,,0.0645250988967382,0.0181903043787138,3328908764050.072,20.0,0.000997387960393639,349.20160835810566,0.798391641894366,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,357.81765960271656,2,100
0.4,2734.581435054907,158.78288864410723,160.38675620616888,,0.0860263572651927,0.0242517353712253,3338300572880.864,20.0,0.000997387960393639,348.9369844787344,1.0630155212656829,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,356.81389101843075,2,100
0.5,2734.1428259718477,158.3442795610471,159.94371672833037,,0.1075241687534089,0.0303121946519259,3347573841500.3423,20.0,0.000997387960393639,348.6730912345223,1.326908765477735,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,355.8282570190803,2,100
0.6,2733.7120753238887,157.91352891308813,159.50861506372536,,0.1290185950853231,0.036371699621443,3356730692630.489,20.0,0.000997387960393639,348.4099155418476,1.5900844581524816,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,354.8602823458053,2,100
0.7,2733.288979157885,157.49043274708387,159.08124519907457,,0.1505096963842226,0.0424302672291637,3365773193946.035,20.0,0.000997387960393639,348.14744465637773,1.8525553436223408,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,353.90950867896925,2,100
0.8,2732.873340718221,157.0747943074208,158.66140839133408,,0.1719975312291728,0.0484879139891431,3374703360015.0283,20.0,0.000997387960393639,347.88566616110904,2.1143338388910338,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,352.9754938730954,2,100
0.9,2732.4649701249177,156.66642371411743,158.24891284254278,,0.1934821567089237,0.0545446559953006,3383523154152.7104,20.0,0.000997387960393639,347.62456795493983,2.375432045060197,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,352.05781123349635,2,100
1.0,2732.063684069097,156.2651376582966,157.8435733922187,5e-06,0.2149636284734328,0.0606005089359448,3392234490193.4004,20.0,0.000997387960393639,347.3641382417495,2.635861758250548,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,351.1560488319456,2,100
1.1,2731.6693055247365,155.8707591139363,157.4452112261982,,0.2364420007831292,0.0666554881076616,3400839234184.7446,20.0,0.000997387960393639,347.1043655199555,2.8956344800445804,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,350.2698088589295,2,100
1.2,2731.2816634756828,155.48311706488244,157.05365360089132,,0.2579173265560415,0.0727096084286001,3409339206008.4443,20.0,0.000997387960393639,346.84523857252395,3.154761427476091,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,349.3987070101952,2,100
1.3,2730.9005926569803,155.10204624617992,156.6687335819999,,0.2793896574128982,0.078762884451187,3417736180931.309,20.0,0.000997387960393639,346.5867464574098,3.4132535425902617,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,348.5423719054751,2,100
1.4,2730.5259333096446,154.7273868988444,156.29028979681252,,0.3008590437203086,0.0848153303742994,3426031891090.2524,20.0,0.000997387960393639,346.32887849840347,3.6711215015965903,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,347.70044453741434,2,100
1.5,2730.1575309480595,154.35898453725923,155.91816619925174,,0.3223255346321206,0.0908669600549243,3434228026914.626,20.0,0.000997387960393639,346.0716242763645,3.928375723635594,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,346.87257774887007,2,100
1.6,2729.795236139238,153.99668972843784,155.5522118469069,,0.3437891781290501,0.0969177870193303,3442326238489.0835,20.0,0.000997387960393639,345.8149736208211,4.185026379178964,1.0,2575.7985464108,125.29483029451718,40.3284,148.33399394,346.05843573687355,2,100
