time [m],flow feed [L/h],flow permeate [L/h],flux at 20° [L/m^2h],k(n=2),energy CP [kWh],energy PP [kWh],res tot [1/m],temperature [°C],viscosity permeate [Pa s],vol feed [L],vol permeate [L],is temperature fixed,flow retentate [L/h],flux at 20° min [L/m^2h],prs retentate [kPa],TMP [kPa],flux at 20° TMP=330 [L/m^2h],TMP class,TMP interval
0.01,2708.310260857782,132.5117144469823,133.85021661311345,5e-06,,,4000000000000.0,20.0,0.000997387960393639,350.0,,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,297.77780742689436,2,100
0.1,2708.105396048949,132.3068496381492,133.64328246277697,,0.0212931313321006,0.0060027577908356,4006203454482.688,20.0,0.000997387960393639,349.77949280581777,0.2205071941822314,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,297.3174391202292,2,100
0.2,2707.9029593873056,132.1044129765062,133.4388009863699,,0.0425846712904091,0.0120050669566533,4012352180697.332,20.0,0.000997387960393639,349.5593229351176,0.4406770648824463,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,296.862527299803,2,100
0.3,2707.702910456981,131.90436404618217,133.23673135977992,,0.0638746386414317,0.0180069327879284,4018446824034.968,20.0,0.000997387960393639,349.3394864099633,0.6605135900367198,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,296.4129811438378,2,100
0.4,2707.505209753288,131.70666334248875,133.03703367928154,,0.0851630518412801,0.0240083604876331,4024488019211.9873,20.0,0.000997387960393639,349.1199793182132,0.8800206817868134,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,295.9687118781486,2,100
0.5,2707.3098186565853,131.51127224578633,132.83966893513767,,0.1064499290426227,0.0300093551731957,4030476390509.188,20.0,0.000997387960393639,348.90079781204645,1.0992021879536111,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,295.52963271741476,2,100
0.6,2707.116699407057,131.31815299625782,132.64459898611898,,0.1277352881014377,0.0360099218784044,4036412552004.021,20.0,0.000997387960393639,348.68193810653145,1.3180618934685802,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,295.09565880849266,2,100
0.7,2706.925815080353,131.12726866955398,132.451786534903,,0.1490191465835751,0.0420100655552569,4042297107796.257,20.0,0.000997387960393639,348.4633964782353,1.536603521764706,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,294.66670717568616,2,100
0.8,2706.7371295640737,130.93858315327464,132.2611951043178,,0.1703015217711338,0.048009791075759,4048130652227.309,20.0,0.000997387960393639,348.24516926387173,1.7548307361282884,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,294.24269666789553,2,100
0.9,2706.5506075350518,130.75206112425224,132.07278901439616,,0.1915824306686609,0.0540091032336713,4053913770093.415,20.0,0.000997387960393639,348.0272528589871,1.9727471410129385,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,293.8235479075696,2,100
1.0,2706.366214437405,130.56766802660565,131.88653336020766,5e-06,0.2128618900091782,0.0600080067462089,4059647036852.901,20.0,0.000997387960393639,347.80964371668296,2.190356283317052,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,293.40918324138886,2,100
1.1,2706.1839164613325,130.38537005053365,131.70239399043797,,0.2341399162600421,0.0660065062556927,4065331018827.7134,20.0,0.000997387960393639,347.59233834637405,2.4076616536259925,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,292.9995266926103,2,100
1.2,2706.0036805226173,130.20513411181878,131.52033748668558,,0.2554165256286435,0.0720046063311568,4070966273399.426,20.0,0.000997387960393639,347.37533331257987,2.6246666874201683,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,292.5945039150089,2,100
1.3,2705.825474242812,130.02692783201357,131.340331143448,,0.2766917340679509,0.0780023114699109,4076553349199.884,20.0,0.000997387960393639,347.1586252337499,2.8413747662501283,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,292.1940421483526,2,100
1.4,2705.6492659300816,129.85071951928288,131.16234294877052,,0.2979655572819041,0.0839996260990609,4082092786296.688,20.0,0.000997387960393639,346.94221078112025,3.0577892188797824,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,291.79807017535137,2,100
1.5,2705.475024560675,129.6764781498763,130.98634156553152,,0.319238010730662,0.0899965545769882,4087585116373.669,20.0,0.000997387960393639,346.72608667760124,3.27391332239878,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,291.4065182800228,2,100
1.6,2705.302719761006,129.50417335020677,130.81229631334006,,0.3405091096357093,0.0959931011947896,4093030862906.521,20.0,0.000997387960393639,346.5102496966949,3.4897503033050685,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,291.01931820741896,2,100
1.7,2705.132321790311,129.33377537951213,130.64017715102224,,0.361778868984828,0.1019892701776786,4098430541333.762,20.0,0.000997387960393639,346.29469666144144,3.705303338558589,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,290.6364031246642,2,100
1.8,2704.963801523876,129.165255113077,130.46995465967362,,0.3830473035369363,0.1079850656863494,4103784659223.154,20.0,0.000997387960393639,346.0794244433929,3.920575556607051,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,290.2577075832513,2,100
1.9,2704.7971304367934,128.99858402599412,130.30160002625658,,0.4043144278268005,0.1139804918183057,4109093716433.7417,20.0,0.000997387960393639,345.8644299616153,4.135570038384675,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,289.8831674825506,2,100
2.0,2704.632280588244,128.83373417744468,130.1350850277218,5e-06,0.4255802561696232,0.1199755526091537,4114358205273.6514,20.0,0.000997387960393639,345.6497101817152,4.3502898182847805,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,289.51272003448486,2,100
2.1,2704.4692246062773,128.67067819547813,129.9703820156344,,0.4468448026655123,0.1259702520338622,4119578610653.77,20.0,0.000997387960393639,345.43526211489296,4.564737885107031,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,289.14630372932675,2,100
2.2,2704.307935673072,128.50938926227295,129.80746390128573,,0.4681080812038337,0.1319645940079896,4124755410237.452,20.0,0.000997387960393639,345.22108281701986,4.778917182980148,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,288.7838583025771,2,100
2.3,2704.14838751066,128.34984109986044,129.64630414127308,,0.4893701054674526,0.1379585823888796,4129889074586.365,20.0,0.000997387960393639,345.0071693877391,4.992830612260865,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,288.4253247028839,2,100
2.4,2703.990554367094,128.1920079562946,129.4868767235298,,0.5106308889368654,0.143952220976826,4134980067302.6094,20.0,0.000997387960393639,344.79351896959014,5.2064810304098605,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,288.0706450609634,2,100
2.5,2703.8344110030507,128.03586459225164,129.32915615378943,,0.5318904448942272,0.1499455135162081,4140028845167.2056,20.0,0.000997387960393639,344.5801287471546,5.419871252845387,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,287.7197626594865,2,100
2.6,2703.6799326788428,127.88138626804356,129.17311744246814,,0.553148786427277,0.1559384636965971,4145035858275.086,20.0,0.000997387960393639,344.36699594622473,5.633004053775275,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,287.3726219038964,2,100
2.7,2703.5270951418297,127.7285487310306,129.01873609195,,0.5744059264331636,0.1619310751538352,4150001550166.682,20.0,0.000997387960393639,344.15411783299203,5.845882167007995,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,287.02916829412175,2,100
2.8,2703.375874614217,127.57732820341845,128.86598808426095,,0.595661877622176,0.1679233514710865,4154926357956.216,20.0,0.000997387960393639,343.94149171325665,6.058508286743398,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,286.6893483971548,2,100
2.9,2703.226247781225,127.4277013704263,128.7148498691174,,0.6169166525213818,0.1739152961798631,4159810712456.7993,20.0,0.000997387960393639,343.7291149316563,6.270885068343763,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,286.35310982046315,2,100
3.0,2703.078191779612,127.27964536881238,128.56529835233565,5e-06,0.6381702634781734,0.179906912761025,4164655038302.428,20.0,0.000997387960393639,343.51698487091426,6.483015129085746,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,286.020401186204,2,100
3.1,2702.931684186544,127.13313777574449,128.4173108845903,,0.659422722663729,0.1858982046457553,4169459754066.977,20.0,0.000997387960393639,343.3050989511062,6.694901048893798,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,285.69117210621505,2,100
3.2,2702.7867030088028,126.98815659800329,128.2708652505083,,0.6806740420763872,0.191889175216512,4174225272380.2734,20.0,0.000997387960393639,343.0934546289444,6.906545371055612,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,285.36537315775143,2,100
3.3,2702.6432266723064,126.8446802615068,128.1259396580876,,0.7019242335449402,0.1978798278079561,4178952000041.349,20.0,0.000997387960393639,342.8820493970798,7.117950602920124,1.0,2575.7985464108,110.46760292691754,40.3284,148.33399394,285.0429558599459,2,100
